r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  71.307000,  56.368000,  48.153000,  50.278000,  48.218000,  12.334000,  13.536000,  12.587000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.154342,  -0.199809,   0.015246,   0.225796,   0.084307,   0.041414,   0.791026,   0.167664,  
Y Velocity[A/fs],   0.090175,  -0.076767,  -0.214509,  -0.034910,   0.216359,  -0.786049,  -0.080929,   0.770766, 
Z Velocity[A/fs],   0.004428,  -0.013768,   0.000744,   0.018780,  -0.008086,  -0.028433,  -0.011339,  -0.030386,  
Speed[A/fs],   0.178809,   0.214491,   0.215051,   0.229249,   0.232345,   0.787653,   0.795236,   0.789376,  
 
r_seed=11,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  68.222000,  59.537000,  49.414000,  48.425000,  48.126000,  12.401000,  13.428000,  12.715000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.162073,  -0.188999,   0.027864,   0.234134,   0.076792,   0.084006,   0.792643,   0.159127,  
Y Velocity[A/fs],   0.089136,  -0.082378,  -0.209101,  -0.022836,   0.216950,  -0.780609,  -0.124562,   0.771575, 
Z Velocity[A/fs],  -0.001891,  -0.009904,   0.019774,  -0.001515,  -0.008417,   0.016626,   0.007976,  -0.038569,  
Speed[A/fs],   0.184976,   0.206409,   0.211874,   0.235250,   0.230293,   0.785292,   0.802411,   0.788757,  
 
r_seed=12,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  68.728000,  59.885000,  48.305000,  49.918000,  47.454000,  12.374000,  13.252000,  12.757000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.161106,  -0.188268,   0.025177,   0.228331,   0.077383,   0.051867,   0.795821,   0.176038,  
Y Velocity[A/fs],   0.093363,  -0.075082,  -0.214802,  -0.023040,   0.220946,  -0.781396,  -0.045713,   0.770167, 
Z Velocity[A/fs],   0.018625,  -0.015581,  -0.000196,  -0.010996,  -0.004511,  -0.009405,  -0.002888,  -0.001433,  
Speed[A/fs],   0.187133,   0.203285,   0.216273,   0.229754,   0.234149,   0.783172,   0.797138,   0.790031,  
 
r_seed=13,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  69.854000,  59.042000,  48.556000,  49.289000,  48.225000,  12.264000,  13.515000,  12.505000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.158248,  -0.190313,   0.027757,   0.231249,   0.081377,  -0.014856,   0.791817,   0.117118,  
Y Velocity[A/fs],   0.091876,  -0.078731,  -0.213448,  -0.025607,   0.217143,  -0.786516,  -0.063637,   0.779847, 
Z Velocity[A/fs],   0.004164,  -0.013362,   0.011771,   0.003895,  -0.014703,   0.022434,   0.064318,   0.005740,  
Speed[A/fs],   0.183033,   0.206389,   0.215567,   0.232695,   0.232357,   0.786976,   0.796969,   0.788614,  
 
r_seed=14,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  66.679000,  59.976000,  49.576000,  48.162000,  49.120000,  12.322000,  13.413000,  12.752000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.166457,  -0.187907,   0.029568,   0.236113,   0.074721,   0.062292,   0.794481,   0.173851,  
Y Velocity[A/fs],   0.092814,  -0.080884,  -0.209010,  -0.021595,   0.213622,  -0.781232,  -0.091743,   0.766498, 
Z Velocity[A/fs],  -0.003255,  -0.012758,  -0.006889,   0.000345,  -0.001369,  -0.011720,   0.004622,   0.035256,  
Speed[A/fs],   0.190612,   0.204974,   0.211203,   0.237098,   0.226317,   0.783799,   0.799774,   0.786756,  
 
r_seed=15,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  69.234000,  57.866000,  49.055000,  49.407000,  49.045000,  12.294000,  13.409000,  12.755000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.159937,  -0.194509,   0.023750,   0.231030,   0.081831,   0.029005,   0.791014,   0.142974,  
Y Velocity[A/fs],   0.093531,  -0.078719,  -0.211428,  -0.028598,   0.213841,  -0.783150,  -0.089939,   0.772478, 
Z Velocity[A/fs],   0.012908,  -0.007462,   0.005017,  -0.017982,  -0.002874,   0.052544,  -0.052647,   0.028831,  
Speed[A/fs],   0.185726,   0.209967,   0.212817,   0.233487,   0.228981,   0.785446,   0.797849,   0.786127,  
 
r_seed=16,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  67.750000,  58.718000,  48.842000,  49.542000,  47.961000,  12.282000,  13.523000,  12.624000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.163063,  -0.192263,   0.024475,   0.230222,   0.073339,   0.070378,   0.792384,   0.156790,  
Y Velocity[A/fs],   0.085724,  -0.083887,  -0.212845,  -0.024397,   0.219092,  -0.781143,  -0.056550,   0.770826, 
Z Velocity[A/fs],   0.001637,  -0.014431,   0.009287,   0.001569,  -0.002303,   0.003672,   0.012620,   0.029962,  
Speed[A/fs],   0.184230,   0.210262,   0.214449,   0.231517,   0.231052,   0.784316,   0.794499,   0.787180,  
 
r_seed=17,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  68.261000,  61.480000,  49.500000,  48.456000,  47.853000,  12.405000,  13.494000,  12.812000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.162551,  -0.183734,   0.032633,   0.235379,   0.077076,   0.018183,   0.794929,   0.180742,  
Y Velocity[A/fs],   0.089248,  -0.082858,  -0.210438,  -0.022231,   0.218865,  -0.783817,  -0.091925,   0.768491, 
Z Velocity[A/fs],  -0.000555,   0.000319,  -0.005223,   0.000777,  -0.020249,   0.027584,   0.000967,  -0.017135,  
Speed[A/fs],   0.185441,   0.201553,   0.213017,   0.236428,   0.232922,   0.784513,   0.800227,   0.789645,  
 
r_seed=18,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  70.333000,  58.567000,  49.741000,  48.559000,  47.657000,  12.313000,  13.540000,  12.779000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.157285,  -0.192767,   0.027436,   0.233573,   0.077290,   0.030595,   0.797252,   0.154510,  
Y Velocity[A/fs],   0.086078,  -0.082794,  -0.208269,  -0.023272,   0.219221,  -0.784443,  -0.072762,   0.776260, 
Z Velocity[A/fs],   0.008841,  -0.013466,   0.004826,   0.020100,  -0.005168,   0.006249,   0.003188,  -0.019385,  
Speed[A/fs],   0.179516,   0.210227,   0.210124,   0.235588,   0.232504,   0.785065,   0.800572,   0.791725,  
 
r_seed=19,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  68.883000,  60.566000,  47.551000,  50.141000,  47.600000,  12.323000,  13.523000,  12.481000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.160385,  -0.185727,   0.028424,   0.227111,   0.080202,   0.067975,   0.789993,   0.106154,  
Y Velocity[A/fs],   0.089882,  -0.080849,  -0.217811,  -0.023824,   0.220011,  -0.784734,  -0.084428,   0.779714, 
Z Velocity[A/fs],  -0.005624,   0.010348,  -0.007545,  -0.011311,   0.016209,  -0.005273,   0.046197,  -0.071278,  
Speed[A/fs],   0.183939,   0.202825,   0.219787,   0.228637,   0.234733,   0.787690,   0.795833,   0.790129,  
 
