C4H10_28r18, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 0.07633450169992669, 0.07777603063258245, 0.1298859993994628, 0.03961093343837931, 0.0003317388026225228, 0.001006707945891797, 0.001338269265184892, 0.0003701569735477202, 0.001706229598071285, 9.782044069771459e-05, 0.001025505247038152, 0.001584826272336412, 9.802186388572183e-05, 0.1404503938879443, 
Time[fs], 28.000000, 28.000000, 28.000000, 28.000000, 23.000000, 24.000000, 22.500000, 23.000000, 24.000000, 23.500000, 23.000000, 23.000000, 23.500000, 22.500000, 
Density Sum, 0.4716171354675718,,,,,,,,,,,,,,
X Velocity[A/fs],-0.288361,-0.220394,0.206154,0.286941,-0.280960,-0.557097,-0.949288,-0.305889,-0.638544,0.560800,0.142313,0.174409,0.464279,1.007053,
Y Velocity[A/fs],-0.241476,0.240770,0.226485,-0.221877,-1.014436,-0.042646,-0.152161,0.232613,0.918215,0.915446,0.090301,-1.002893,-0.112518,-0.075624,
Z Velocity[A/fs],0.121146,-0.230205,0.240213,-0.140952,-0.310380,0.958115,-0.234226,-1.057798,0.173384,-0.044330,1.075842,0.316178,-0.943152,0.153230,
Speed[A/fs],0.395144,0.399423,0.389226,0.389143,1.097431,1.109126,0.989526,1.125439,1.131777,1.074478,1.088964,1.065918,1.057238,1.021448,
,,,,,,,,,,,,,,,
C4H10_28r45, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 0.06099389400158331, 0.09751862278955427, 0.1052320232385533, 0.03691664086740157, 0.0002631906566737719, 0.0003791407297277035, 0.001241366687438915, 0.0003726904206516957, 0.001674282245889721, 0.0001097656147156981, 0.0007609064009569802, 0.002553327250575653, 0.0007767505081487669, 0.01626190365267183, 
Time[fs], 28.000000, 28.000000, 28.000000, 28.000000, 23.000000, 24.500000, 22.500000, 23.000000, 24.000000, 23.500000, 23.000000, 23.000000, 24.000000, 23.000000, 
Density Sum, 0.3250545050645433,,,,,,,,,,,,,,
X Velocity[A/fs],-0.291710,-0.189573,0.206487,0.288332,-0.345843,-0.583673,-0.976487,-0.235370,-0.643445,0.534647,0.035538,0.127602,0.630610,0.927065,
Y Velocity[A/fs],-0.255107,0.272316,0.238216,-0.223110,-1.016391,-0.149357,-0.082938,0.243355,0.909085,0.931646,0.120806,-1.022802,-0.145406,-0.080880,
Z Velocity[A/fs],0.068838,-0.208735,0.247333,-0.143110,-0.212687,0.885060,-0.272358,-1.052029,0.168791,-0.073415,1.081818,0.214769,-0.907627,0.297160,
Speed[A/fs],0.393590,0.392001,0.400697,0.391655,1.094483,1.070660,1.017145,1.105163,1.126476,1.076662,1.089122,1.052868,1.114720,0.976880,
,,,,,,,,,,,,,,,
C4H10_28r11, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 0.08595291955282872, 0.07981935303271724, 0.1214980585364569, 0.05934047212731795, 0.0005021445649994878, 0.0004137432128673279, 0.001304099689614879, 0.0004639395992651855, 0.001278568701313104, 8.357529208983707e-05, 0.001081082803330863, 0.002414504221074754, 0.0006088924929638595, 0.1269010643955019, 
Time[fs], 28.000000, 28.000000, 28.000000, 28.000000, 23.000000, 24.500000, 22.500000, 23.000000, 24.000000, 23.500000, 23.000000, 23.000000, 25.000000, 22.500000, 
Density Sum, 0.4816624182223419,,,,,,,,,,,,,,
X Velocity[A/fs],-0.305841,-0.191100,0.192500,0.287737,-0.268135,-0.540940,-0.980819,-0.222566,-0.617500,0.554523,0.066376,0.084810,0.737796,1.031028,
Y Velocity[A/fs],-0.260111,0.254702,0.252918,-0.259199,-1.010730,-0.172265,-0.056773,0.265861,0.924180,0.909430,0.318651,-1.018110,-0.153093,-0.066347,
Z Velocity[A/fs],0.030035,-0.225604,0.239654,-0.035601,-0.335527,0.911831,-0.298651,-1.069747,0.180575,-0.179455,1.072031,0.331293,-0.859056,0.273085,
Speed[A/fs],0.402615,0.390243,0.398067,0.388901,1.098203,1.074117,1.026850,1.124533,1.126064,1.080168,1.120355,1.074009,1.142698,1.068642,
,,,,,,,,,,,,,,,
C4H10_28r16, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 0.0644523107730417, 0.05203305245946088, 0.1233202100400433, 0.04902729720715299, 0.0003285348427838524, 0.00107045359414735, 0.001331779491045907, 0.0003726723819220966, 0.002076142931081976, 0.0005288760195972272, 0.001302914445580704, 0.00161877245163874, 0.000526748681193812, 0.0709567368073537, 
Time[fs], 28.000000, 28.000000, 28.000000, 28.000000, 23.000000, 24.000000, 22.500000, 23.000000, 23.500000, 24.000000, 23.000000, 23.000000, 24.000000, 22.500000, 
Density Sum, 0.3689465021260443,,,,,,,,,,,,,,
X Velocity[A/fs],-0.309886,-0.196863,0.207592,0.293321,-0.316807,-0.549914,-1.006521,-0.210647,-0.665048,0.725366,0.155147,0.047885,0.580078,1.027214,
Y Velocity[A/fs],-0.259246,0.269569,0.269771,-0.261809,-1.000963,-0.211345,-0.031886,0.249682,0.937606,0.887077,0.199957,-1.019039,-0.271769,-0.163284,
Z Velocity[A/fs],0.046026,-0.214533,0.227989,-0.071020,-0.395460,0.931824,-0.177304,-1.057087,0.129616,-0.156931,1.072990,0.415634,-0.927079,0.205033,
Speed[A/fs],0.406640,0.396795,0.409694,0.399531,1.121910,1.102437,1.022516,1.106411,1.156804,1.156585,1.102434,1.101583,1.126865,1.060127,
,,,,,,,,,,,,,,,
C4H10_28r19, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 0.06768866205332623, 0.08082792508444434, 0.1381762214588424, 0.04189310764232603, 0.0006452032353618162, 5.497415062450393e-06, 0.0005428775439668345, 0.0003181753206831137, 0.0002326383694609348, 7.997760899689914e-05, 0.0006685682660517659, 0.001631645721792075, 0.0005803202999955414, 0.1103893691907763, 
Time[fs], 28.000000, 28.000000, 28.000000, 28.000000, 23.500000, 25.000000, 23.000000, 23.000000, 24.500000, 23.500000, 23.000000, 23.000000, 24.000000, 22.500000, 
Density Sum, 0.4436801892110867,,,,,,,,,,,,,,
X Velocity[A/fs],-0.304602,-0.198354,0.211986,0.292103,-0.201270,-0.627334,-1.067380,-0.272506,-0.628397,0.581159,0.021611,0.186330,0.550719,1.019282,
