C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Y Velocity[A/fs],   0.010582,  -0.007235,  -0.084429,   0.037452, 
Z Velocity[A/fs],   0.003105,  -0.003010,  -0.043265,   0.055588,  
Speed[A/fs],   0.183985,   0.171127,   0.691586,   0.661742,  
 
C2H2_14r10,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7564218044,    2.5602005720,    0.9990752441,    0.9999572646,  
Time[fs],  56.744000,  57.081000,  26.840000,  26.809000,  
Charge Sum,    6.3156548852, 
X Velocity[A/fs],  -0.198634,   0.195627,  -0.678644,   0.654382,  
Y Velocity[A/fs],  -0.002224,  -0.001618,   0.032861,   0.038080, 
Z Velocity[A/fs],  -0.005207,   0.001859,   0.050713,  -0.048764,  
Speed[A/fs],   0.198715,   0.195643,   0.681329,   0.657300,  
 
C2H2_14r54,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7230153084,    2.5810182095,    0.9992581388,    0.9999660569,  
Time[fs],  56.160000,  57.339000,  26.787000,  26.817000,  
Charge Sum,    6.3032577135, 
X Velocity[A/fs],  -0.201871,   0.195033,  -0.680796,   0.651380,  
Y Velocity[A/fs],   0.001141,   0.003394,  -0.045563,  -0.020110, 
Z Velocity[A/fs],   0.009657,   0.001491,  -0.018718,  -0.011106,  
Speed[A/fs],   0.202105,   0.195068,   0.682576,   0.651785,  
 
C2H2_14r118,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6952416897,    2.6484425068,    0.9991589395,    0.9999205550,  
Time[fs],  55.295000,  56.781000,  26.828000,  26.848000,  
Charge Sum,    6.3427636910, 
X Velocity[A/fs],  -0.206426,   0.197893,  -0.680180,   0.654726,  
Y Velocity[A/fs],   0.008622,  -0.011942,  -0.053345,   0.064560, 
Z Velocity[A/fs],  -0.006851,  -0.000544,   0.068147,   0.001878,  
Speed[A/fs],   0.206720,   0.198254,   0.685663,   0.657904,  
 
C2H2_14r19,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0456310511,    2.2904381752,    0.9995481881,    0.9998986113,  
Time[fs],  59.653000,  58.707000,  27.035000,  26.941000,  
Charge Sum,    6.3355160256, 
X Velocity[A/fs],  -0.180054,   0.182581,  -0.673249,   0.641407,  
Y Velocity[A/fs],   0.012007,  -0.010792,  -0.074639,   0.098798, 
Z Velocity[A/fs],  -0.005901,   0.006986,   0.074623,  -0.075543,  
Speed[A/fs],   0.180550,   0.183033,   0.681472,   0.653354,  
 
C2H2_14r86,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7621440887,    2.4923477173,    0.9994937542,    0.9999460444,  
Time[fs],  56.105000,  59.302000,  26.695000,  26.967000,  
Charge Sum,    6.2539316046, 
X Velocity[A/fs],  -0.200099,   0.184735,  -0.678544,   0.645696,  
Y Velocity[A/fs],   0.002307,  -0.010226,   0.012055,   0.058427, 
Z Velocity[A/fs],  -0.005584,  -0.000217,   0.054255,   0.018563,  
Speed[A/fs],   0.200190,   0.185018,   0.680817,   0.648599,  
 
C2H2_14r108,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7469546795,    2.5251423120,    0.9989549987,    0.9998986024,  
Time[fs],  56.633000,  57.974000,  26.847000,  26.977000,  
Charge Sum,    6.2709505926, 
X Velocity[A/fs],  -0.198529,   0.191188,  -0.677902,   0.651858,  
Y Velocity[A/fs],   0.003204,  -0.001411,  -0.055341,   0.039914, 
Z Velocity[A/fs],  -0.005294,  -0.004105,   0.032232,   0.042837,  
Speed[A/fs],   0.198626,   0.191238,   0.680920,   0.654483,  
 
C2H2_14r79,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3877226114,    1.9373335838,    0.9988556096,    0.9999102851,  
Time[fs],  64.728000,  62.690000,  26.969000,  26.913000,  
Charge Sum,    6.3238220899, 
X Velocity[A/fs],  -0.156352,   0.161600,  -0.672607,   0.647324,  
Y Velocity[A/fs],   0.001372,  -0.003919,  -0.040122,   0.059059, 
Z Velocity[A/fs],  -0.000350,   0.007349,   0.057750,  -0.081998,  
Speed[A/fs],   0.156358,   0.161814,   0.676273,   0.655164,  
 
C2H2_14r162,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7069697380,    2.5536202192,    0.9996368828,    0.9999596180,  
Time[fs],  56.465000,  57.507000,  26.681000,  26.788000,  
Charge Sum,    6.2601864580, 
X Velocity[A/fs],  -0.199726,   0.193491,  -0.674377,   0.646542,  
Y Velocity[A/fs],   0.005899,  -0.000499,  -0.048260,  -0.004491, 
Z Velocity[A/fs],   0.002075,   0.003556,   0.036273,  -0.057185,  
Speed[A/fs],   0.199824,   0.193525,   0.677074,   0.649082,  
 
C2H2_14r57,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9609215260,    2.3289915323,    0.9987389841,    0.9999226065,  
Time[fs],  58.443000,  59.474000,  26.973000,  26.993000,  
Charge Sum,    6.2885746489, 
X Velocity[A/fs],  -0.186792,   0.181527,  -0.678553,   0.644731,  
Y Velocity[A/fs],   0.007313,  -0.008258,  -0.005626,   0.047281, 
Z Velocity[A/fs],   0.001321,  -0.001506,   0.026374,   0.013124,  
Speed[A/fs],   0.186940,   0.181721,   0.679089,   0.646596,  
 
C2H2_14r95,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9041972160,    2.3938158751,    0.9993401981,    0.9999663251,  
Time[fs],  57.005000,  60.036000,  26.704000,  26.887000,  
Charge Sum,    6.2973196142, 
X Velocity[A/fs],  -0.193801,   0.180091,  -0.680806,   0.641775,  
Y Velocity[A/fs],  -0.001011,   0.007980,  -0.021384,  -0.056530, 
Z Velocity[A/fs],  -0.001198,   0.001653,   0.033857,   0.016591,  
Speed[A/fs],   0.193808,   0.180275,   0.681982,   0.644474,  
 
C2H2_14r11,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8697440624,    2.4234707355,    0.9991006878,    0.9999225240,  
Time[fs],  57.425000,  58.972000,  26.833000,  26.975000,  
Charge Sum,    6.2922380098, 
X Velocity[A/fs],  -0.192535,   0.184570,  -0.674823,   0.649095,  
Y Velocity[A/fs],   0.000618,  -0.007770,  -0.081366,   0.087763, 
Z Velocity[A/fs],   0.003971,   0.002490,  -0.053052,  -0.010367,  
Speed[A/fs],   0.192577,   0.184750,   0.681778,   0.655083,  
 
C2H2_14r100,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.9501366615,    1.3912203312,    0.9992639360,    0.9999580110,  
Time[fs],  70.386000,  71.406000,  26.809000,  26.724000,  
Charge Sum,    6.3405789397, 
X Velocity[A/fs],  -0.130695,   0.127513,  -0.677799,   0.641507,  
Y Velocity[A/fs],   0.006432,  -0.006447,  -0.075262,   0.080663, 
Z Velocity[A/fs],  -0.004119,  -0.001107,   0.028048,   0.045369,  
Speed[A/fs],   0.130918,   0.127680,   0.682541,   0.648148,  
 
C2H2_14r4,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9421150684,    2.4366741180,    0.9988028200,    0.9999334512,  
Time[fs],  57.768000,  57.186000,  26.822000,  26.719000,  
Charge Sum,    6.3775254576, 
X Velocity[A/fs],  -0.189264,   0.190259,  -0.681954,   0.660671,  
Y Velocity[A/fs],   0.003941,  -0.011492,  -0.006643,   0.072179, 
Z Velocity[A/fs],  -0.005160,   0.004303,   0.063666,  -0.033974,  
Speed[A/fs],   0.189375,   0.190654,   0.684952,   0.665470,  
 
C2H2_14r132,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8848478794,    2.4706051350,    0.9989478037,    0.9999213554,  
Time[fs],  57.673000,  57.463000,  26.910000,  26.793000,  
Charge Sum,    6.3543221736, 
X Velocity[A/fs],  -0.191979,   0.191546,  -0.682755,   0.653522,  
Y Velocity[A/fs],  -0.000513,  -0.000230,   0.048783,  -0.041400, 
Z Velocity[A/fs],  -0.002570,   0.011397,  -0.018628,  -0.059255,  
Speed[A/fs],   0.191997,   0.191885,   0.684749,   0.657508,  
 
C2H2_14r145,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.5301030874,    1.8312919140,    0.9993102142,    0.9999058453,  
Time[fs],  61.405000,  67.464000,  26.779000,  26.938000,  
Charge Sum,    6.3606110610, 
X Velocity[A/fs],  -0.163841,   0.144007,  -0.678311,   0.648521,  
Y Velocity[A/fs],   0.009340,  -0.006036,  -0.106309,   0.076442, 
Z Velocity[A/fs],   0.005570,   0.003900,  -0.062482,  -0.029200,  
Speed[A/fs],   0.164202,   0.144186,   0.689428,   0.653663,  
 
C2H2_14r120,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0249065161,    2.2920126915,    0.9994827336,    0.9999151868,  
Time[fs],  59.250000,  59.371000,  27.004000,  26.947000,  
Charge Sum,    6.3163171280, 
X Velocity[A/fs],  -0.182331,   0.180603,  -0.678012,   0.647173,  
Y Velocity[A/fs],   0.000443,   0.001235,  -0.042295,   0.046026, 
Z Velocity[A/fs],  -0.005600,   0.004444,   0.055751,  -0.062219,  
Speed[A/fs],   0.182417,   0.180662,   0.681614,   0.651784,  
 
C2H2_14r68,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7154157162,    2.6268904209,    0.9988834778,    0.9999359358,  
Time[fs],  56.395000,  55.895000,  26.945000,  26.794000,  
Charge Sum,    6.3411255506, 
X Velocity[A/fs],  -0.201467,   0.202473,  -0.678056,   0.650139,  
Y Velocity[A/fs],  -0.015389,   0.004457,   0.063708,  -0.009186, 
Z Velocity[A/fs],   0.002560,   0.001986,   0.029068,  -0.052788,  
Speed[A/fs],   0.202070,   0.202532,   0.681663,   0.652343,  
 
C2H2_14r89,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0201411247,    2.3092964888,    0.9987875677,    0.9999273694,  
Time[fs],  58.623000,  59.713000,  26.946000,  26.894000,  
Charge Sum,    6.3281525506, 
X Velocity[A/fs],  -0.184952,   0.179527,  -0.682309,   0.647088,  
Y Velocity[A/fs],  -0.006852,  -0.000723,  -0.006051,   0.047548, 
Z Velocity[A/fs],  -0.009025,   0.002733,   0.061189,  -0.019146,  
Speed[A/fs],   0.185299,   0.179550,   0.685073,   0.649115,  
 
C2H2_14r137,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0508817434,    2.2292008400,    0.9992426033,    0.9999205039,  
Time[fs],  59.814000,  60.749000,  26.857000,  26.991000,  
Charge Sum,    6.2792456906, 
X Velocity[A/fs],  -0.179281,   0.174490,  -0.674124,   0.642117,  
Y Velocity[A/fs],   0.001144,  -0.006706,  -0.052290,   0.081220, 
Z Velocity[A/fs],   0.006265,   0.000380,  -0.027335,  -0.031451,  
Speed[A/fs],   0.179394,   0.174619,   0.676701,   0.647997,  
 
C2H2_14r70,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8426129818,    2.5156426430,    0.9992064118,    0.9999350220,  
Time[fs],  55.995000,  58.106000,  26.854000,  26.880000,  
Charge Sum,    6.3573970586, 
X Velocity[A/fs],  -0.200299,   0.189565,  -0.683243,   0.649015,  
Y Velocity[A/fs],  -0.007698,  -0.002179,   0.064777,   0.011231, 
Z Velocity[A/fs],  -0.001610,   0.007687,   0.064518,  -0.069898,  
Speed[A/fs],   0.200454,   0.189733,   0.689333,   0.652865,  
 
C2H2_14r93,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6964344978,    2.6296093464,    0.9986659322,    0.9999287761,  
Time[fs],  55.901000,  56.308000,  26.957000,  26.864000,  
Charge Sum,    6.3246385525, 
X Velocity[A/fs],  -0.204097,   0.201044,  -0.681329,   0.648753,  
Y Velocity[A/fs],  -0.008189,   0.005161,   0.055220,   0.001352, 
Z Velocity[A/fs],   0.002840,  -0.008092,   0.007617,   0.042651,  
Speed[A/fs],   0.204281,   0.201273,   0.683606,   0.650154,  
 
C2H2_14r50,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1477859020,    2.2091120481,    0.9992451957,    0.9998888937,  
Time[fs],  59.746000,  60.316000,  26.837000,  26.803000,  
Charge Sum,    6.3560320396, 
X Velocity[A/fs],  -0.177409,   0.173685,  -0.675455,   0.656373,  
Y Velocity[A/fs],   0.009895,  -0.011070,  -0.093901,   0.086376, 
Z Velocity[A/fs],   0.006093,  -0.000524,  -0.043976,  -0.029474,  
Speed[A/fs],   0.177789,   0.174039,   0.683367,   0.662687,  
 
C2H2_14r106,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6644349098,    2.6801995039,    0.9989905522,    0.9999388567,  
Time[fs],  55.671000,  55.547000,  26.890000,  26.778000,  
Charge Sum,    6.3435638225, 
X Velocity[A/fs],  -0.205724,   0.205163,  -0.680638,   0.645507,  
Y Velocity[A/fs],   0.009944,  -0.013524,  -0.066954,   0.052881, 
Z Velocity[A/fs],   0.000597,  -0.001555,  -0.020296,   0.052717,  
Speed[A/fs],   0.205965,   0.205614,   0.684224,   0.649811,  
 
C2H2_14r92,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1962906122,    2.1377801895,    0.9991096882,    0.9999281749,  
Time[fs],  60.239000,  61.398000,  26.952000,  26.856000,  
Charge Sum,    6.3331086648, 
X Velocity[A/fs],  -0.174718,   0.169598,  -0.679570,   0.644747,  
Y Velocity[A/fs],  -0.004238,   0.006145,   0.090398,  -0.080416, 
Z Velocity[A/fs],  -0.005518,   0.002225,   0.045937,   0.027558,  
Speed[A/fs],   0.174856,   0.169724,   0.687093,   0.650327,  
 
C2H2_14r155,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0259624720,    2.3346356153,    0.9992517813,    0.9999255531,  
Time[fs],  59.259000,  58.237000,  26.824000,  26.853000,  
Charge Sum,    6.3597754216, 
X Velocity[A/fs],  -0.181908,   0.184536,  -0.677702,   0.650470,  
Y Velocity[A/fs],  -0.007659,   0.011002,   0.075029,  -0.099767, 
Z Velocity[A/fs],   0.005260,  -0.010866,  -0.018053,   0.081169,  
Speed[A/fs],   0.182145,   0.185182,   0.682082,   0.663064,  
 
C2H2_14r51,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0094234943,    2.1597803831,    0.9995224607,    0.9999067474,  
Time[fs],  60.315000,  62.774000,  26.738000,  27.014000,  
Charge Sum,    6.1686330856, 
X Velocity[A/fs],  -0.176105,   0.165943,  -0.670924,   0.643659,  
Y Velocity[A/fs],  -0.005204,   0.006183,   0.043483,  -0.055892, 
Z Velocity[A/fs],  -0.006943,   0.006271,  -0.035924,   0.016615,  
Speed[A/fs],   0.176318,   0.166177,   0.673291,   0.646294,  
 
C2H2_14r22,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3914372921,    1.9698140621,    0.9990401274,    0.9999074168,  
Time[fs],  63.026000,  62.284000,  26.808000,  26.677000,  
Charge Sum,    6.3601988984, 
X Velocity[A/fs],  -0.160967,   0.161986,  -0.680523,   0.661987,  
Y Velocity[A/fs],   0.008072,  -0.001784,  -0.053331,   0.010077, 
Z Velocity[A/fs],   0.001123,  -0.002939,  -0.036233,   0.060290,  
Speed[A/fs],   0.161174,   0.162023,   0.683570,   0.664804,  
 
C2H2_14r147,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7844030857,    2.5634372234,    0.9991819372,    0.9999192150,  
Time[fs],  56.216000,  57.103000,  26.881000,  26.933000,  
Charge Sum,    6.3469414614, 
X Velocity[A/fs],  -0.200444,   0.194847,  -0.678432,   0.650530,  
Y Velocity[A/fs],   0.008854,  -0.008719,  -0.089700,   0.087915, 
Z Velocity[A/fs],  -0.003681,   0.009403,  -0.029500,  -0.048909,  
Speed[A/fs],   0.200674,   0.195268,   0.684972,   0.658263,  
 
C2H2_14r112,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9992227554,    2.3394479752,    0.9989526805,    0.9999367056,  
Time[fs],  58.086000,  59.799000,  26.829000,  26.879000,  
Charge Sum,    6.3375601167, 
X Velocity[A/fs],  -0.187832,   0.179837,  -0.684437,   0.647224,  
Y Velocity[A/fs],   0.000413,  -0.006901,  -0.048657,   0.050783, 
Z Velocity[A/fs],   0.002075,  -0.007001,   0.025100,   0.042344,  
Speed[A/fs],   0.187843,   0.180106,   0.686623,   0.650593,  
 
C2H2_14r141,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2600831985,    2.1404305696,    0.9988046604,    0.9999202990,  
Time[fs],  59.919000,  60.087000,  26.880000,  26.734000,  
Charge Sum,    6.3992387276, 
X Velocity[A/fs],  -0.174582,   0.172377,  -0.676134,   0.657694,  
Y Velocity[A/fs],   0.009031,  -0.011033,  -0.080398,   0.089819, 
Z Velocity[A/fs],   0.010452,  -0.003040,  -0.077900,   0.033978,  
Speed[A/fs],   0.175128,   0.172757,   0.685339,   0.664668,  
 
C2H2_14r146,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9671394825,    2.3826966286,    0.9992034011,    0.9999232371,  
Time[fs],  57.496000,  58.996000,  26.913000,  26.861000,  
Charge Sum,    6.3489627493, 
X Velocity[A/fs],  -0.190713,   0.183355,  -0.681850,   0.646493,  
Y Velocity[A/fs],   0.001698,  -0.007345,  -0.075604,   0.073713, 
Z Velocity[A/fs],  -0.006572,   0.004227,   0.066070,  -0.019901,  
Speed[A/fs],   0.190834,   0.183550,   0.689203,   0.650986,  
 
C2H2_14r129,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2095024586,    2.1189234257,    0.9989582481,    0.9999576102,  
Time[fs],  61.163000,  61.903000,  26.867000,  26.813000,  
Charge Sum,    6.3273417425, 
X Velocity[A/fs],  -0.171506,   0.167798,  -0.680415,   0.650499,  
Y Velocity[A/fs],  -0.003984,   0.008969,  -0.034133,   0.031470, 
Z Velocity[A/fs],   0.003334,   0.005196,  -0.045676,  -0.029525,  
Speed[A/fs],   0.171585,   0.168117,   0.682800,   0.651929,  
 
C2H2_14r160,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9646782875,    2.3240884542,    0.9991854385,    0.9998482405,  
Time[fs],  59.323000,  59.142000,  26.964000,  27.009000,  
Charge Sum,    6.2878004207, 
X Velocity[A/fs],  -0.183120,   0.182302,  -0.666903,   0.646790,  
Y Velocity[A/fs],   0.004874,  -0.002121,  -0.057784,   0.071750, 
Z Velocity[A/fs],   0.007998,  -0.005753,  -0.082632,   0.074253,  
Speed[A/fs],   0.183360,   0.182405,   0.674483,   0.654980,  
 
C2H2_14r80,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7369577885,    2.6244547367,    0.9993569383,    0.9999554125,  
Time[fs],  55.339000,  56.804000,  26.739000,  26.703000,  
Charge Sum,    6.3607248760, 
X Velocity[A/fs],  -0.205915,   0.197610,  -0.682491,   0.650571,  
Y Velocity[A/fs],  -0.002416,  -0.001179,  -0.056261,   0.056086, 
Z Velocity[A/fs],   0.008958,   0.002998,  -0.049648,  -0.029628,  
Speed[A/fs],   0.206124,   0.197636,   0.686603,   0.653656,  
 
C2H2_14r192,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0719991922,    2.3232358694,    0.9984337782,    0.9999387189,  
Time[fs],  57.485000,  59.102000,  26.750000,  26.700000,  
Charge Sum,    6.3936075587, 
X Velocity[A/fs],  -0.187897,   0.179756,  -0.686419,   0.658734,  
Y Velocity[A/fs],   0.001344,   0.007010,  -0.038054,  -0.050335, 
Z Velocity[A/fs],   0.003480,  -0.002652,  -0.058711,   0.060854,  
Speed[A/fs],   0.187934,   0.179913,   0.689975,   0.663451,  
 
C2H2_14r59,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9952971935,    2.2231905460,    0.9992557038,    0.9997833348,  
Time[fs],  59.805000,  61.409000,  26.873000,  27.173000,  
Charge Sum,    6.2175267782, 
X Velocity[A/fs],  -0.179233,   0.171799,  -0.670054,   0.641063,  
Y Velocity[A/fs],  -0.007759,   0.005470,   0.060046,  -0.043693, 
Z Velocity[A/fs],   0.006199,  -0.011896,  -0.047975,   0.075068,  
Speed[A/fs],   0.179508,   0.172298,   0.674448,   0.646920,  
 
C2H2_14r193,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2021085024,    1.9922211170,    0.9995853195,    0.9999176140,  
Time[fs],  64.797000,  62.449000,  26.905000,  26.868000,  
Charge Sum,    6.1938325528, 
X Velocity[A/fs],  -0.157649,   0.163621,  -0.667075,   0.652944,  
Y Velocity[A/fs],   0.003339,   0.000200,  -0.048615,   0.021279, 
Z Velocity[A/fs],  -0.003914,   0.006410,  -0.018438,  -0.037750,  
Speed[A/fs],   0.157733,   0.163746,   0.669098,   0.654381,  
 
C2H2_14r169,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9805905819,    2.3819385767,    0.9990255200,    0.9999448980,  
Time[fs],  59.127000,  57.316000,  26.774000,  26.592000,  
Charge Sum,    6.3614995766, 
X Velocity[A/fs],  -0.183258,   0.189343,  -0.679765,   0.660780,  
Y Velocity[A/fs],  -0.002060,   0.004418,  -0.016174,  -0.012191, 
Z Velocity[A/fs],   0.000097,   0.001480,   0.044154,  -0.049843,  
Speed[A/fs],   0.183269,   0.189401,   0.681389,   0.662769,  
 
C2H2_14r157,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1428322792,    2.1342186928,    0.9987254960,    0.9998540763,  
Time[fs],  60.010000,  62.925000,  26.855000,  27.104000,  
Charge Sum,    6.2756305443, 
X Velocity[A/fs],  -0.176177,   0.164653,  -0.680027,   0.646608,  
Y Velocity[A/fs],  -0.001322,   0.004644,   0.016623,  -0.042587, 
Z Velocity[A/fs],  -0.002653,   0.003143,   0.066747,  -0.052232,  
Speed[A/fs],   0.176202,   0.164749,   0.683497,   0.650110,  
 
C2H2_14r94,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9592630863,    2.3675417900,    0.9991599408,    0.9999401653,  
Time[fs],  57.903000,  59.377000,  26.932000,  26.921000,  
Charge Sum,    6.3259049824, 
X Velocity[A/fs],  -0.189407,   0.182100,  -0.673536,   0.647082,  
Y Velocity[A/fs],  -0.000402,  -0.003228,   0.053150,  -0.039448, 
Z Velocity[A/fs],  -0.009776,   0.003589,   0.085727,  -0.064896,  
Speed[A/fs],   0.189659,   0.182164,   0.681047,   0.651523,  
 
C2H2_14r7,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7712287903,    2.5314307213,    0.9994836271,    0.9999590903,  
Time[fs],  57.542000,  56.753000,  26.911000,  26.762000,  
Charge Sum,    6.3021022290, 
X Velocity[A/fs],  -0.194245,   0.196077,  -0.670491,   0.655978,  
Y Velocity[A/fs],  -0.010908,   0.001285,   0.055655,   0.028775, 
Z Velocity[A/fs],  -0.012302,   0.004186,   0.066186,   0.000084,  
Speed[A/fs],   0.194940,   0.196126,   0.676044,   0.656609,  
 
C2H2_14r151,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6924653053,    2.5614595413,    0.9994516835,    0.9999347269,  
Time[fs],  55.284000,  58.844000,  26.727000,  27.009000,  
Charge Sum,    6.2533112570, 
X Velocity[A/fs],  -0.205727,   0.188167,  -0.678555,   0.644397,  
Y Velocity[A/fs],  -0.007012,  -0.004258,   0.060426,   0.037035, 
Z Velocity[A/fs],   0.003159,   0.006299,  -0.027744,  -0.048036,  
Speed[A/fs],   0.205871,   0.188321,   0.681804,   0.647245,  
 
C2H2_14r26,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2689003944,    2.1085252762,    0.9988917937,    0.9999329079,  
Time[fs],  59.809000,  61.841000,  26.799000,  26.692000,  
Charge Sum,    6.3762503722, 
X Velocity[A/fs],  -0.174194,   0.165865,  -0.694085,   0.657101,  
Y Velocity[A/fs],  -0.000694,   0.002399,   0.011319,  -0.044087, 
Z Velocity[A/fs],   0.003803,  -0.001383,  -0.051485,   0.045139,  
Speed[A/fs],   0.174237,   0.165888,   0.696084,   0.660124,  
 
C2H2_14r105,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7778778076,    2.5630323887,    0.9990846339,    0.9999335601,  
Time[fs],  56.092000,  57.419000,  26.858000,  26.875000,  
Charge Sum,    6.3399283904, 
X Velocity[A/fs],  -0.201239,   0.193979,  -0.682323,   0.651853,  
Y Velocity[A/fs],  -0.001713,  -0.001198,   0.017672,   0.042885, 
Z Velocity[A/fs],  -0.004944,   0.008507,   0.077110,  -0.068503,  
Speed[A/fs],   0.201307,   0.194169,   0.686894,   0.656844,  
 
C2H2_14r60,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3565795422,    1.9360744953,    0.9991869724,    0.9999714543,  
Time[fs],  63.650000,  63.698000,  26.853000,  26.836000,  
Charge Sum,    6.2918124642, 
X Velocity[A/fs],  -0.159711,   0.158461,  -0.673913,   0.644259,  
Y Velocity[A/fs],   0.004977,   0.003273,  -0.031938,  -0.034720, 
Z Velocity[A/fs],   0.002396,   0.007336,  -0.017960,  -0.051413,  
Speed[A/fs],   0.159806,   0.158664,   0.674908,   0.647239,  
 
C2H2_14r36,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1982048750,    2.1524595022,    0.9990872620,    0.9999261651,  
Time[fs],  61.967000,  59.801000,  26.983000,  26.831000,  
Charge Sum,    6.3496778042, 
X Velocity[A/fs],  -0.168697,   0.175152,  -0.672699,   0.655486,  
Y Velocity[A/fs],   0.004446,  -0.000919,  -0.052917,   0.028492, 
Z Velocity[A/fs],   0.009705,  -0.013092,  -0.070902,   0.081504,  
Speed[A/fs],   0.169034,   0.175643,   0.678491,   0.661148,  
 
C2H2_14r107,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8758301735,    2.4584459066,    0.9992575118,    0.9999267787,  
Time[fs],  56.129000,  59.328000,  26.826000,  27.021000,  
Charge Sum,    6.3334603706, 
X Velocity[A/fs],  -0.198924,   0.183804,  -0.680385,   0.643488,  
Y Velocity[A/fs],   0.007175,  -0.006305,  -0.083569,   0.074682, 
Z Velocity[A/fs],   0.002328,  -0.008979,   0.032149,   0.039569,  
Speed[A/fs],   0.199067,   0.184131,   0.686252,   0.649015,  
 
C2H2_14r16,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.6271350384,    2.6037359238,    0.9995548632,    0.9999364208,  
Time[fs],  55.394000,  57.856000,  26.660000,  26.893000,  
Charge Sum,    6.2303622462, 
X Velocity[A/fs],  -0.206164,   0.193269,  -0.672351,   0.645350,  
Y Velocity[A/fs],  -0.002031,  -0.000246,   0.073289,  -0.050126, 
Z Velocity[A/fs],   0.000692,   0.004013,   0.012854,  -0.045950,  
Speed[A/fs],   0.206176,   0.193311,   0.676456,   0.648923,  
 
C2H2_14r197,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.6628551483,    1.6923742294,    0.9993307933,    0.9998953171,  
Time[fs],  63.949000,  67.845000,  26.775000,  26.913000,  
Charge Sum,    6.3544554881, 
X Velocity[A/fs],  -0.152806,   0.140380,  -0.673148,   0.647560,  
Y Velocity[A/fs],  -0.008339,   0.010967,   0.087157,  -0.092374, 
Z Velocity[A/fs],   0.007683,  -0.003663,  -0.089151,   0.062968,  
Speed[A/fs],   0.153226,   0.140855,   0.684596,   0.657140,  
 
C2H2_14r42,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8946576118,    2.4460874796,    0.9992237598,    0.9999042855,  
Time[fs],  57.021000,  58.646000,  26.860000,  26.940000,  
Charge Sum,    6.3398731368, 
X Velocity[A/fs],  -0.193714,   0.185106,  -0.674122,   0.651284,  
Y Velocity[A/fs],   0.009184,  -0.010998,  -0.065239,   0.062205, 
Z Velocity[A/fs],   0.017133,  -0.010193,  -0.092535,   0.070129,  
Speed[A/fs],   0.194687,   0.185712,   0.683564,   0.657996,  
 
C2H2_14r101,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3005232811,    2.0085949898,    0.9989705993,    0.9999507212,  
Time[fs],  61.662000,  64.286000,  26.833000,  26.900000,  
Charge Sum,    6.3080395914, 
