C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Y Velocity[A/fs],  -0.004781,   0.011479,   0.071006,  -0.093121, 
Z Velocity[A/fs],   0.003026,   0.005529,  -0.037238,  -0.043482,  
Speed[A/fs],   0.199641,   0.194670,   0.683182,   0.650815,  
 
C2H2_14r123,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8345990181,    2.3311573267,    0.9992923660,    0.9999044451,  
Time[fs],  58.869000,  60.047000,  26.800000,  26.988000,  
Charge Sum,    6.1649531559, 
X Velocity[A/fs],  -0.185158,   0.178785,  -0.668723,   0.648549,  
Y Velocity[A/fs],   0.005155,   0.001098,  -0.057341,  -0.013962, 
Z Velocity[A/fs],  -0.002633,   0.003176,   0.041883,  -0.035992,  
Speed[A/fs],   0.185249,   0.178816,   0.672482,   0.649697,  
 
C2H2_14r110,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7226319313,    2.5811802149,    0.9991938975,    0.9999499595,  
Time[fs],  56.634000,  56.802000,  26.844000,  26.831000,  
Charge Sum,    6.3029560033, 
X Velocity[A/fs],  -0.199540,   0.197151,  -0.676391,   0.655568,  
Y Velocity[A/fs],   0.003425,  -0.000169,  -0.067427,   0.061842, 
Z Velocity[A/fs],   0.007934,   0.002675,  -0.031802,  -0.028827,  
Speed[A/fs],   0.199727,   0.197169,   0.680487,   0.659109,  
 
C2H2_14r21,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0803755522,    2.2582694292,    0.9993861375,    0.9999293205,  
Time[fs],  58.420000,  61.042000,  26.796000,  26.869000,  
Charge Sum,    6.3379604394, 
X Velocity[A/fs],  -0.183883,   0.172284,  -0.676940,   0.650776,  
Y Velocity[A/fs],  -0.004057,  -0.004001,   0.051007,   0.043591, 
Z Velocity[A/fs],  -0.012107,   0.016006,   0.087231,  -0.058321,  
Speed[A/fs],   0.184325,   0.173072,   0.684440,   0.654837,  
 
C2H2_14r111,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1162780523,    2.1929417849,    0.9991367803,    0.9999460952,  
Time[fs],  59.639000,  60.897000,  26.937000,  26.937000,  
Charge Sum,    6.3083027126, 
X Velocity[A/fs],  -0.178720,   0.172895,  -0.672306,   0.640275,  
Y Velocity[A/fs],  -0.005927,  -0.001479,   0.049874,   0.037292, 
Z Velocity[A/fs],  -0.004546,   0.008324,   0.077211,  -0.081290,  
Speed[A/fs],   0.178876,   0.173101,   0.678560,   0.646491,  
 
C2H2_14r64,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8383522034,    2.5559499264,    0.9992344549,    0.9999368771,  
Time[fs],  55.844000,  56.649000,  26.921000,  26.738000,  
Charge Sum,    6.3934734618, 
X Velocity[A/fs],  -0.200271,   0.195085,  -0.678550,   0.654653,  
Y Velocity[A/fs],   0.010953,  -0.006592,  -0.084157,   0.063528, 
Z Velocity[A/fs],  -0.010832,   0.010436,   0.087243,  -0.079010,  
Speed[A/fs],   0.200862,   0.195475,   0.689292,   0.662457,  
 
C2H2_14r119,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0668531656,    2.2808454037,    0.9993836891,    0.9999424792,  
Time[fs],  57.422000,  61.694000,  26.761000,  26.893000,  
Charge Sum,    6.3470247377, 
X Velocity[A/fs],  -0.188938,   0.170998,  -0.682927,   0.646846,  
Y Velocity[A/fs],   0.005821,  -0.005989,   0.001560,   0.047956, 
Z Velocity[A/fs],  -0.006171,   0.007820,   0.089595,  -0.045754,  
Speed[A/fs],   0.189129,   0.171281,   0.688781,   0.650233,  
 
C2H2_14r35,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1185960770,    2.1026802063,    0.9995066886,    0.9998987475,  
Time[fs],  61.005000,  62.884000,  26.805000,  26.968000,  
Charge Sum,    6.2206817194, 
X Velocity[A/fs],  -0.172184,   0.164273,  -0.668030,   0.645652,  
Y Velocity[A/fs],   0.006610,   0.003592,  -0.037855,  -0.030866, 
Z Velocity[A/fs],  -0.002391,   0.005032,   0.074802,  -0.048715,  
Speed[A/fs],   0.172327,   0.164390,   0.673270,   0.648223,  
 
C2H2_14r56,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3560347557,    1.9464988708,    0.9990658187,    0.9999598480,  
Time[fs],  62.787000,  64.783000,  26.874000,  26.916000,  
Charge Sum,    6.3015592933, 
X Velocity[A/fs],  -0.162713,   0.155331,  -0.678515,   0.646794,  
Y Velocity[A/fs],   0.008927,  -0.000448,   0.014649,  -0.039490, 
Z Velocity[A/fs],  -0.007557,   0.002698,   0.051607,   0.005131,  
Speed[A/fs],   0.163133,   0.155355,   0.680632,   0.648019,  
 
C2H2_14r77,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.4049944878,    1.9765021801,    0.9991732711,    0.9999547849,  
Time[fs],  62.838000,  62.146000,  26.875000,  26.762000,  
Charge Sum,    6.3806247238, 
X Velocity[A/fs],  -0.161760,   0.162787,  -0.678257,   0.652467,  
