r_seed=1,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Speed[A/fs],   0.507942,   0.495228,   0.496109,   0.508204,   0.843737,   0.868403,   0.895920,   0.897848,   0.915406,   0.913338,   0.889807,   0.845072,   0.885561,   0.890322,  
 
r_seed=20,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.135000,  25.054000,  26.086000,  22.398000,  10.011000,  10.464000,   9.377000,   9.474000,   9.753000,  10.145000,   9.476000,   9.809000,  10.623000,   9.541000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.378067,  -0.245974,   0.235195,   0.374029,  -0.125357,  -0.372698,  -0.857910,  -0.100622,  -0.419305,   0.457730,   0.115380,   0.146104,   0.393786,   0.847537,  
Y Velocity[A/fs],  -0.316948,   0.329924,   0.316206,  -0.319075,  -0.804192,  -0.107438,  -0.079365,   0.150404,   0.808150,   0.775142,   0.166796,  -0.819197,  -0.115412,  -0.009095, 
Z Velocity[A/fs],   0.104234,  -0.293538,   0.295445,  -0.117921,  -0.219068,   0.783788,  -0.246153,  -0.866700,   0.102452,  -0.163133,   0.864914,   0.210295,  -0.779311,   0.251559,  
Speed[A/fs],   0.504237,   0.505488,   0.492535,   0.505581,   0.842870,   0.874512,   0.896047,   0.885390,   0.916198,   0.914863,   0.888375,   0.858286,   0.880746,   0.884129,  
 
r_seed=21,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.785000,  26.049000,  24.571000,  22.290000,  10.054000,  10.627000,   9.282000,   9.606000,  10.257000,  10.125000,   9.572000,  10.220000,  10.568000,   9.212000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.384006,  -0.241283,   0.246005,   0.375540,  -0.118406,  -0.352768,  -0.858370,  -0.060099,  -0.463009,   0.457653,   0.109584,   0.085455,   0.387964,   0.867299,  
Y Velocity[A/fs],  -0.311085,   0.315685,   0.336954,  -0.322734,  -0.795273,  -0.147710,  -0.051103,   0.202000,   0.772188,   0.782632,   0.204306,  -0.789160,  -0.159065,  -0.041649, 
Z Velocity[A/fs],   0.115564,  -0.297760,   0.276895,  -0.091931,  -0.279777,   0.781092,  -0.261639,  -0.859524,   0.143937,  -0.157067,   0.858514,   0.247743,  -0.777049,   0.226051,  
Speed[A/fs],   0.507533,   0.496523,   0.500727,   0.503626,   0.851325,   0.869694,   0.898814,   0.884984,   0.911795,   0.920124,   0.889267,   0.831537,   0.882963,   0.897241,  
 
r_seed=22,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.614000,  25.753000,  25.276000,  22.594000,   9.917000,  10.397000,   9.285000,   9.589000,   9.995000,   9.872000,   9.720000,  10.034000,  10.801000,   9.675000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.387703,  -0.250548,   0.245245,   0.370921,  -0.132227,  -0.368599,  -0.862302,  -0.095488,  -0.454442,   0.434773,   0.064533,   0.141087,   0.424196,   0.829457,  
Y Velocity[A/fs],  -0.317555,   0.321610,   0.327176,  -0.322236,  -0.811928,  -0.118449,  -0.032094,   0.147954,   0.794805,   0.799763,   0.168902,  -0.804113,  -0.132751,  -0.042524, 
Z Velocity[A/fs],   0.107178,  -0.279929,   0.281434,  -0.111816,  -0.203753,   0.789591,  -0.251541,  -0.859961,   0.084821,  -0.115453,   0.852735,   0.248240,  -0.765713,   0.324282,  
Speed[A/fs],   0.512486,   0.494538,   0.496381,   0.503906,   0.847482,   0.879403,   0.898814,   0.877805,   0.919471,   0.917594,   0.871693,   0.853303,   0.885371,   0.891609,  
 
r_seed=23,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.277000,  24.347000,  25.683000,  22.349000,   9.877000,  10.674000,   9.464000,   9.596000,  10.061000,  10.112000,   9.515000,  10.102000,  10.848000,   9.399000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.375725,  -0.243966,   0.250480,   0.374815,  -0.133257,  -0.406550,  -0.849731,  -0.144319,  -0.478241,   0.456909,   0.072750,   0.132014,   0.394136,   0.848738,  
Y Velocity[A/fs],  -0.317898,   0.340294,   0.320622,  -0.312788,  -0.815206,  -0.120218,  -0.055656,   0.152658,   0.789424,   0.782080,   0.163259,  -0.794871,  -0.190681,  -0.027420, 
Z Velocity[A/fs],   0.098650,  -0.268193,   0.294286,  -0.125024,  -0.215928,   0.771942,  -0.278289,  -0.858359,   0.087112,  -0.128882,   0.863126,   0.253319,  -0.769977,   0.277866,  
Speed[A/fs],   0.501957,   0.497240,   0.502138,   0.503938,   0.853781,   0.880699,   0.895871,   0.883693,   0.927088,   0.914891,   0.881438,   0.844640,   0.885758,   0.893486,  
 
r_seed=24,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.712000,  25.306000,  25.464000,  22.075000,   9.789000,  10.663000,   9.238000,   9.602000,  10.218000,  10.142000,   9.618000,  10.101000,  10.836000,   9.248000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.386100,  -0.241602,   0.246946,   0.379285,  -0.141122,  -0.368785,  -0.856782,  -0.095503,  -0.473484,   0.457633,   0.086967,   0.096501,   0.383238,   0.856531,  
Y Velocity[A/fs],  -0.308440,   0.326510,   0.324507,  -0.325806,  -0.819260,  -0.127854,  -0.059247,   0.117763,   0.774907,   0.783863,   0.166887,  -0.791626,  -0.120509,  -0.047351, 
Z Velocity[A/fs],   0.110038,  -0.288232,   0.279972,  -0.101103,  -0.204363,   0.778354,  -0.287108,  -0.860225,   0.133006,  -0.121453,   0.857668,   0.273800,  -0.766000,   0.277879,  
Speed[A/fs],   0.506277,   0.498054,   0.494643,   0.510125,   0.856076,   0.870738,   0.905547,   0.873485,   0.917801,   0.915762,   0.878071,   0.843179,   0.864957,   0.901722,  
 
r_seed=25,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.181000,  25.569000,  25.059000,  22.930000,   9.713000,  10.557000,   9.383000,   9.616000,  10.006000,   9.955000,   9.656000,  10.024000,  10.816000,   9.492000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.377133,  -0.252453,   0.247353,   0.365933,  -0.147341,  -0.386196,  -0.853434,  -0.135872,  -0.430906,   0.445369,   0.084817,   0.118241,   0.430109,   0.846896,  
Y Velocity[A/fs],  -0.331932,   0.323401,   0.329737,  -0.319908,  -0.826755,  -0.130410,   0.001060,   0.170694,   0.798759,   0.796514,   0.156693,  -0.803622,  -0.096843,  -0.042014, 
Z Velocity[A/fs],   0.101459,  -0.271806,   0.287599,  -0.115993,  -0.212786,   0.779827,  -0.261402,  -0.858571,   0.110911,  -0.108792,   0.858910,   0.217919,  -0.766659,   0.264372,  
Speed[A/fs],   0.512545,   0.492137,   0.502617,   0.499702,   0.866321,   0.879934,   0.892570,   0.885857,   0.914329,   0.919034,   0.877196,   0.840998,   0.884386,   0.888195,  
 
r_seed=26,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.628000,  26.322000,  25.063000,  22.439000,   9.728000,  10.698000,   9.547000,   9.597000,  10.188000,  10.038000,   9.541000,   9.875000,  10.427000,   9.386000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.387067,  -0.247962,   0.246620,   0.373254,  -0.134587,  -0.357867,  -0.837777,  -0.100041,  -0.430736,   0.448125,   0.098898,   0.136885,   0.356055,   0.852731,  
Y Velocity[A/fs],  -0.318641,   0.313489,   0.330267,  -0.327564,  -0.825476,  -0.140313,  -0.028858,   0.158454,   0.782065,   0.792705,   0.156806,  -0.809436,  -0.091924,  -0.044341, 
Z Velocity[A/fs],   0.113441,  -0.288219,   0.274642,  -0.102962,  -0.182269,   0.778034,  -0.320207,  -0.860203,   0.160678,  -0.111650,   0.862110,   0.250988,  -0.786891,   0.256725,  
Speed[A/fs],   0.514025,   0.492779,   0.495304,   0.507166,   0.856006,   0.867810,   0.897350,   0.880378,   0.907180,   0.917422,   0.881818,   0.858440,   0.868575,   0.891641,  
 
r_seed=27,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.038000,  24.982000,  25.127000,  22.328000,  10.268000,  10.435000,   9.194000,   9.736000,  10.197000,  10.119000,   9.426000,   9.972000,  10.703000,   9.331000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.379454,  -0.249266,   0.250208,   0.374919,  -0.138245,  -0.361179,  -0.868282,  -0.138121,  -0.461678,   0.443493,   0.098514,   0.122550,   0.384697,   0.858156,  
Y Velocity[A/fs],  -0.318032,   0.330563,   0.328663,  -0.318131,  -0.793485,  -0.152977,  -0.041064,   0.136097,   0.783954,   0.787511,   0.150582,  -0.811515,  -0.163982,  -0.055083, 
Z Velocity[A/fs],   0.110061,  -0.272141,   0.282924,  -0.107260,  -0.227536,   0.790049,  -0.244306,  -0.853948,   0.126605,  -0.131938,   0.867711,   0.209499,  -0.775770,   0.256281,  
Speed[A/fs],   0.507191,   0.495445,   0.500669,   0.503266,   0.836960,   0.882060,   0.902932,   0.875687,   0.918563,   0.913382,   0.886173,   0.847033,   0.881307,   0.897299,  
 
r_seed=28,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.202000,  25.354000,  25.228000,  22.043000,   9.680000,  10.700000,   9.294000,   9.595000,  10.188000,   9.922000,   9.582000,  10.000000,  10.599000,   9.544000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.376925,  -0.245657,   0.248895,   0.379358,  -0.124110,  -0.381179,  -0.858849,  -0.081193,  -0.452450,   0.450012,   0.090851,   0.099656,   0.366361,   0.842111,  
Y Velocity[A/fs],  -0.325425,   0.326263,   0.326605,  -0.319605,  -0.822101,  -0.149979,  -0.056041,   0.130588,   0.786902,   0.796046,   0.133830,  -0.802599,  -0.164760,  -0.022414, 
Z Velocity[A/fs],   0.098435,  -0.271801,   0.288858,  -0.110365,  -0.252111,   0.772737,  -0.256776,  -0.857625,   0.095772,  -0.111257,   0.862623,   0.215023,  -0.780237,   0.286716,  
Speed[A/fs],   0.507606,   0.490582,   0.502054,   0.508173,   0.868799,   0.874593,   0.898163,   0.871301,   0.912742,   0.921183,   0.877657,   0.836858,   0.877574,   0.889865,  
 
r_seed=29,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.896000,  25.898000,  24.463000,  22.562000,  10.099000,  10.442000,   9.443000,   9.499000,  10.098000,   9.731000,   9.613000,   9.783000,  10.671000,   9.433000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.382297,  -0.240200,   0.252684,   0.371131,  -0.144039,  -0.336231,  -0.853313,  -0.134944,  -0.473449,   0.419545,   0.091862,   0.123511,   0.369495,   0.853143,  
Y Velocity[A/fs],  -0.314586,   0.318524,   0.337989,  -0.322878,  -0.794673,  -0.153524,  -0.065914,   0.147676,   0.779993,   0.813113,   0.179731,  -0.821292,  -0.173202,   0.013126, 
Z Velocity[A/fs],   0.115570,  -0.283654,   0.279648,  -0.100311,  -0.272399,   0.790612,  -0.263842,  -0.863577,   0.112757,  -0.107588,   0.857109,   0.198708,  -0.775154,   0.233967,  
Speed[A/fs],   0.508401,   0.489503,   0.506250,   0.502047,   0.852322,   0.872748,   0.895601,   0.886444,   0.919379,   0.921274,   0.880555,   0.853968,   0.876007,   0.884741,  
 
r_seed=30,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.083000,  24.892000,  25.364000,  22.298000,  10.045000,  10.665000,   9.251000,   9.596000,  10.029000,  10.139000,   9.511000,  10.063000,  10.343000,   9.390000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.379019,  -0.248585,   0.245713,   0.375347,  -0.126103,  -0.381282,  -0.856644,  -0.099096,  -0.466288,   0.473695,   0.086393,   0.130025,   0.319216,   0.845301,  
Y Velocity[A/fs],  -0.318135,   0.331855,   0.324825,  -0.321798,  -0.799457,  -0.155660,  -0.007453,   0.200004,   0.790283,   0.780544,   0.149285,  -0.794230,  -0.121132,  -0.049963, 
Z Velocity[A/fs],   0.106268,  -0.275077,   0.285797,  -0.110693,  -0.252014,   0.773925,  -0.269071,  -0.855213,   0.102035,  -0.094329,   0.863248,   0.291370,  -0.791891,   0.289583,  
Speed[A/fs],   0.506121,   0.497584,   0.497560,   0.506648,   0.847670,   0.876679,   0.897939,   0.883861,   0.923246,   0.917896,   0.880310,   0.855923,   0.862360,   0.894924,  
 
r_seed=31,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.780000,  25.012000,  25.830000,  22.109000,  10.018000,  10.338000,   9.312000,   9.542000,  10.252000,  10.209000,   9.549000,  10.000000,  10.365000,   9.519000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.384332,  -0.241033,   0.253933,   0.378327,  -0.145553,  -0.316342,  -0.862568,  -0.132278,  -0.479303,   0.460832,   0.129017,   0.122604,   0.345152,   0.843122,  
Y Velocity[A/fs],  -0.311636,   0.331010,   0.319422,  -0.322481,  -0.800248,  -0.163029,  -0.034071,   0.173828,   0.769806,   0.778836,   0.152504,  -0.804613,  -0.169821,  -0.027189, 
Z Velocity[A/fs],   0.104502,  -0.278344,   0.279478,  -0.122760,  -0.260052,   0.794090,  -0.238412,  -0.859719,   0.150314,  -0.132931,   0.859097,   0.228573,  -0.794388,   0.282519,  
Speed[A/fs],   0.505716,   0.495116,   0.494591,   0.512050,   0.853937,   0.870189,   0.895558,   0.887035,   0.919199,   0.914671,   0.882015,   0.845387,   0.882622,   0.889612,  
 
r_seed=32,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.913000,  25.462000,  25.281000,  22.404000,   9.930000,  10.541000,   9.448000,   9.576000,  10.122000,   9.837000,   9.536000,  10.189000,  10.426000,   9.473000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.382016,  -0.252841,   0.238720,   0.375084,  -0.134961,  -0.360141,  -0.850051,  -0.103339,  -0.450593,   0.454567,   0.141033,   0.108619,   0.360478,   0.853655,  
Y Velocity[A/fs],  -0.319281,   0.324827,   0.327767,  -0.311852,  -0.808581,  -0.165205,  -0.047131,   0.158429,   0.786153,   0.795991,   0.182893,  -0.791209,  -0.114432,  -0.078073, 
Z Velocity[A/fs],   0.114051,  -0.280475,   0.288156,  -0.112363,  -0.251074,   0.784901,  -0.276705,  -0.858806,   0.119888,  -0.117773,   0.862238,   0.247081,  -0.788563,   0.242435,  
Speed[A/fs],   0.510768,   0.498104,   0.497446,   0.500565,   0.857354,   0.879240,   0.895194,   0.879389,   0.914026,   0.924177,   0.892633,   0.835978,   0.874569,   0.890840,  
 
r_seed=33,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.982000,  25.405000,  25.887000,  22.314000,   9.946000,  10.779000,   9.220000,   9.578000,  10.381000,  10.042000,   9.589000,   9.954000,  10.658000,   9.508000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.381602,  -0.237369,   0.247548,   0.375353,  -0.165562,  -0.406707,  -0.862436,  -0.086249,  -0.469911,   0.439965,   0.091971,   0.088844,   0.366497,   0.846345,  
Y Velocity[A/fs],  -0.313872,   0.325976,   0.318762,  -0.323832,  -0.805367,  -0.182684,   0.036426,   0.142868,   0.768817,   0.790450,   0.149230,  -0.807916,  -0.164261,  -0.021565, 
Z Velocity[A/fs],   0.108308,  -0.285627,   0.296031,  -0.113301,  -0.263890,   0.769409,  -0.253817,  -0.861807,   0.143809,  -0.123579,   0.863855,   0.215317,  -0.777965,   0.268252,  
Speed[A/fs],   0.505832,   0.494153,   0.500523,   0.508521,   0.863519,   0.889255,   0.899747,   0.877817,   0.912456,   0.913046,   0.881461,   0.840823,   0.875517,   0.888102,  
 
r_seed=34,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.100000,  24.996000,  25.472000,  22.134000,   9.823000,  10.594000,   9.498000,   9.624000,  10.184000,  10.082000,   9.402000,   9.831000,  10.658000,   9.477000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.377946,  -0.254566,   0.237725,   0.379009,  -0.143647,  -0.332051,  -0.848076,  -0.089484,  -0.493647,   0.420647,   0.119672,   0.144940,   0.376671,   0.848549,  
Y Velocity[A/fs],  -0.328051,   0.330593,   0.324494,  -0.312357,  -0.819111,  -0.128823,  -0.036638,   0.166883,   0.775729,   0.787718,   0.212708,  -0.815390,  -0.152667,  -0.062935, 
Z Velocity[A/fs],   0.097713,  -0.275139,   0.286842,  -0.104567,  -0.214374,   0.781432,  -0.278595,  -0.856836,   0.121598,  -0.158395,   0.866552,   0.215704,  -0.775427,   0.274681,  
Speed[A/fs],   0.509910,   0.499797,   0.494052,   0.502145,   0.858798,   0.858772,   0.893415,   0.877511,   0.927485,   0.906936,   0.900266,   0.855802,   0.875486,   0.894118,  
 
r_seed=35,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.122000,  25.415000,  25.222000,  22.776000,   9.706000,  10.649000,   9.581000,   9.659000,  10.551000,  10.137000,   9.637000,  10.169000,  10.777000,   9.506000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.378425,  -0.243724,   0.247507,   0.367942,  -0.158107,  -0.394594,  -0.838098,  -0.065876,  -0.486855,   0.472686,   0.113760,   0.098389,   0.404347,   0.844039,  
Y Velocity[A/fs],  -0.320195,   0.324922,   0.327807,  -0.326363,  -0.824384,  -0.093531,  -0.036498,   0.146697,   0.762094,   0.778531,   0.171871,  -0.794996,  -0.167175,  -0.055517, 
Z Velocity[A/fs],   0.112322,  -0.284387,   0.287021,  -0.107248,  -0.241221,   0.777618,  -0.311654,  -0.858298,   0.129491,  -0.146557,   0.859756,   0.250287,  -0.768349,   0.287520,  
Speed[A/fs],   0.508279,   0.495834,   0.501097,   0.503384,   0.873381,   0.877007,   0.894912,   0.873232,   0.913555,   0.922508,   0.884116,   0.839251,   0.884197,   0.893394,  
 
r_seed=36,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.579000,  26.023000,  25.276000,  22.262000,  10.077000,  10.541000,   9.328000,   9.591000,  10.043000,  10.142000,   9.506000,   9.924000,  10.462000,   9.450000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.387952,  -0.244558,   0.243648,   0.376614,  -0.118825,  -0.328798,  -0.862216,  -0.090045,  -0.436627,   0.467779,   0.090964,   0.151936,   0.353104,   0.850299,  
Y Velocity[A/fs],  -0.317454,   0.317503,   0.326746,  -0.316754,  -0.803887,  -0.188528,  -0.036688,   0.152269,   0.794115,   0.785270,   0.156570,  -0.811975,  -0.080679,  -0.020446, 
Z Velocity[A/fs],   0.106749,  -0.283624,   0.288576,  -0.116731,  -0.212673,   0.786252,  -0.250093,  -0.861285,   0.099805,  -0.105131,   0.865918,   0.223751,  -0.790143,   0.264471,  
Speed[A/fs],   0.512523,   0.490978,   0.499403,   0.505764,   0.839990,   0.872837,   0.898504,   0.879264,   0.911714,   0.920065,   0.884648,   0.855834,   0.869205,   0.890714,  
 
r_seed=37,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.936000,  24.900000,  25.244000,  22.283000,  10.321000,  10.721000,   9.462000,   9.750000,  10.123000,   9.771000,   9.453000,   9.837000,  10.353000,   9.495000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.381492,  -0.248574,   0.252489,   0.375120,  -0.083269,  -0.368594,  -0.843916,  -0.076688,  -0.490641,   0.428764,   0.098876,   0.140117,   0.373558,   0.847289,  
Y Velocity[A/fs],  -0.321836,   0.332344,   0.326827,  -0.323905,  -0.782085,  -0.135671,  -0.067449,   0.172259,   0.779494,   0.807603,   0.170354,  -0.817098,  -0.119038,  -0.071183, 
Z Velocity[A/fs],   0.096788,  -0.267103,   0.280438,  -0.103760,  -0.255541,   0.771480,  -0.309114,  -0.847987,   0.107480,  -0.094902,   0.865265,   0.242563,  -0.789572,   0.273480,  
Speed[A/fs],   0.508412,   0.493543,   0.499211,   0.506355,   0.826978,   0.865707,   0.901274,   0.868698,   0.927303,   0.919276,   0.887401,   0.863781,   0.881555,   0.893172,  
 
r_seed=38,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.042000,  25.321000,  25.370000,  22.650000,  10.133000,  10.425000,   9.571000,   9.592000,  10.055000,  10.150000,   9.435000,  10.076000,  10.419000,   9.324000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.380285,  -0.240822,   0.236034,   0.370590,  -0.120273,  -0.392512,  -0.837160,  -0.120983,  -0.422724,   0.482107,   0.104199,   0.108837,   0.343730,   0.861245,  
Y Velocity[A/fs],  -0.316976,   0.325970,   0.324765,  -0.314605,  -0.795814,  -0.127183,  -0.048416,   0.191738,   0.794914,   0.775928,   0.184861,  -0.801078,  -0.155643,  -0.047737, 
Z Velocity[A/fs],   0.112423,  -0.287487,   0.305873,  -0.110723,  -0.244939,   0.785804,  -0.308608,  -0.859648,   0.129365,  -0.110434,   0.870870,   0.227853,  -0.790834,   0.213370,  
Speed[A/fs],   0.507671,   0.496891,   0.504720,   0.498571,   0.841297,   0.887540,   0.893544,   0.889041,   0.909571,   0.920156,   0.896351,   0.839934,   0.876238,   0.888565,  
 
r_seed=39,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
