r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.156450,  -0.205789,   0.016212,   0.234698,   0.088091,   0.040634,   0.875161,   0.180763,  
Y Velocity[A/fs],   0.092454,  -0.080274,  -0.224002,  -0.035944,   0.225700,  -0.879351,  -0.088869,   0.859366, 
Z Velocity[A/fs],   0.004690,  -0.014424,   0.000736,   0.019646,  -0.008650,  -0.031623,  -0.012524,  -0.033541,  
Speed[A/fs],   0.181786,   0.221361,   0.224589,   0.238246,   0.242436,   0.880858,   0.879751,   0.878812,  
 
r_seed=11,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.164667,  -0.194072,   0.029215,   0.243744,   0.080188,   0.086170,   0.876577,   0.171722,  
Y Velocity[A/fs],   0.091657,  -0.085807,  -0.218047,  -0.023599,   0.226447,  -0.873458,  -0.135442,   0.860428, 
Z Velocity[A/fs],  -0.001805,  -0.010381,   0.020854,  -0.001703,  -0.008736,   0.018267,   0.008894,  -0.042655,  
Speed[A/fs],   0.188466,   0.212449,   0.220981,   0.244889,   0.240385,   0.877888,   0.887023,   0.878433,  
 
r_seed=12,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
