C4H10_14r45, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
X Velocity[A/fs],-0.128711,-0.081454,0.087307,0.146039,-0.199781,-0.437949,-0.838750,-0.024667,-0.547468,0.506007,-0.023235,0.162614,0.536550,0.820055,
Y Velocity[A/fs],-0.112552,0.123011,0.134348,-0.125255,-0.748056,-0.253868,-0.012790,0.227643,0.685170,0.710556,0.245729,-0.768819,-0.213792,-0.060217,
Z Velocity[A/fs],0.009912,-0.116965,0.098984,-0.017047,-0.380428,0.706983,-0.132620,-0.839698,0.110346,-0.062522,0.822100,0.337278,-0.682858,0.285526,
Speed[A/fs],0.171268,0.188275,0.188334,0.193150,0.862685,0.869525,0.849267,0.870358,0.883943,0.874553,0.858354,0.855150,0.894364,0.870426,
,,,,,,,,,,,,,,,
C4H10_14r2, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.089491305969065, 1.991044261141871, 2.108248062996668, 2.071373018216623, 0.0009289151368277485, 0.003366540788988712, 0.07804532708014139, 0.001039662062623218, 0.004064670288434501, 0.0006632831735702761, 0.003083969368845352, 0.002286023825615054, 0.0003161179595583868, 0.0002977484797102355, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.500000, 30.000000, 26.500000, 28.000000, 29.000000, 29.000000, 28.000000, 28.500000, 30.000000, 26.500000, 
Density Sum, 8.354248906488543,,,,,,,,,,,,,,
X Velocity[A/fs],-0.139049,-0.095780,0.092477,0.143036,-0.246933,-0.477956,-0.835248,-0.026019,-0.514908,0.513311,0.084996,0.168826,0.458627,0.815363,
Y Velocity[A/fs],-0.131568,0.135163,0.123306,-0.125676,-0.766962,-0.205290,-0.027182,0.214136,0.719045,0.711772,0.230968,-0.761651,-0.306332,-0.059223,
Z Velocity[A/fs],0.003716,-0.129195,0.124498,-0.013551,-0.337685,0.707479,-0.163481,-0.835958,0.189568,-0.149366,0.828628,0.377021,-0.700648,0.156925,
Speed[A/fs],0.191464,0.210081,0.198131,0.190886,0.873635,0.878130,0.851531,0.863340,0.904485,0.890178,0.864404,0.866464,0.891676,0.832436,
,,,,,,,,,,,,,,,
C4H10_14r38, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.119720964321378, 1.984970138323367, 2.157732457324535, 2.25464366461512, 0.0005004798082295935, 0.002632175739336699, 0.05403182501204865, 0.0004889772054062831, 0.002178880200233731, 0.002801868391132321, 0.002189461666271827, 0.003099868735234007, 0.0002114772078814461, 0.005089702176832776, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.500000, 29.500000, 26.500000, 28.000000, 29.500000, 28.500000, 28.000000, 28.000000, 30.000000, 27.500000, 
Density Sum, 8.590291940727006,,,,,,,,,,,,,,
X Velocity[A/fs],-0.135703,-0.088681,0.093259,0.150174,-0.274454,-0.455641,-0.825359,-0.051013,-0.545574,0.465576,0.126266,0.156032,0.546766,0.808249,
Y Velocity[A/fs],-0.125230,0.143265,0.125690,-0.113275,-0.754893,-0.197041,-0.075019,0.159133,0.697465,0.736344,0.117675,-0.814296,-0.110276,-0.108748,
