C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Y Velocity[A/fs],  -0.004787,   0.011367,   0.091283,  -0.072761, 
Z Velocity[A/fs],   0.003016,   0.005413,  -0.016902,  -0.023098,  
Speed[A/fs],   0.199758,   0.194627,   0.664325,   0.667713,  
 
C2H2_14r123,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8345990181,    2.3311573267,    0.9992923660,    0.9999044451,  
Time[fs],  58.838000,  60.075000,  26.768000,  27.014000,  
Charge Sum,    6.1649531559, 
X Velocity[A/fs],  -0.185259,   0.178731,  -0.650114,   0.669440,  
Y Velocity[A/fs],   0.005127,   0.001004,  -0.039055,   0.006600, 
Z Velocity[A/fs],  -0.002656,   0.003083,   0.060108,  -0.015442,  
Speed[A/fs],   0.185349,   0.178761,   0.654054,   0.669651,  
 
C2H2_14r110,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7226319313,    2.5811802149,    0.9991938975,    0.9999499595,  
Time[fs],  56.602000,  56.825000,  26.814000,  26.861000,  
Charge Sum,    6.3029560033, 
X Velocity[A/fs],  -0.199666,   0.197115,  -0.656795,   0.675913,  
Y Velocity[A/fs],   0.003422,  -0.000299,  -0.048152,   0.081868, 
Z Velocity[A/fs],   0.007936,   0.002547,  -0.012546,  -0.008853,  
Speed[A/fs],   0.199853,   0.197132,   0.658678,   0.680910,  
 
C2H2_14r21,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0803755522,    2.2582694292,    0.9993861375,    0.9999293205,  
Time[fs],  58.389000,  61.074000,  26.763000,  26.898000,  
Charge Sum,    6.3379604394, 
X Velocity[A/fs],  -0.183965,   0.172214,  -0.658473,   0.671502,  
Y Velocity[A/fs],  -0.004108,  -0.004076,   0.069110,   0.064006, 
Z Velocity[A/fs],  -0.012157,   0.015936,   0.105316,  -0.037962,  
Speed[A/fs],   0.184412,   0.172998,   0.670413,   0.675612,  
 
C2H2_14r111,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1162780523,    2.1929417849,    0.9991367803,    0.9999460952,  
Time[fs],  59.608000,  60.930000,  26.908000,  26.965000,  
Charge Sum,    6.3083027126, 
X Velocity[A/fs],  -0.178799,   0.172821,  -0.651538,   0.661287,  
Y Velocity[A/fs],  -0.005983,  -0.001548,   0.070301,   0.058002, 
Z Velocity[A/fs],  -0.004601,   0.008260,   0.097623,  -0.060645,  
Speed[A/fs],   0.178958,   0.173026,   0.662552,   0.666590,  
 
C2H2_14r64,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8383522034,    2.5559499264,    0.9992344549,    0.9999368771,  
Time[fs],  55.814000,  56.674000,  26.893000,  26.771000,  
Charge Sum,    6.3934734618, 
X Velocity[A/fs],  -0.200383,   0.195040,  -0.657893,   0.673341,  
Y Velocity[A/fs],   0.010935,  -0.006710,  -0.063780,   0.081898, 
Z Velocity[A/fs],  -0.010847,   0.010331,   0.107529,  -0.060717,  
Speed[A/fs],   0.200974,   0.195429,   0.669667,   0.681016,  
 
C2H2_14r119,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0668531656,    2.2808454037,    0.9993836891,    0.9999424792,  
Time[fs],  57.392000,  61.727000,  26.728000,  26.922000,  
Charge Sum,    6.3470247377, 
X Velocity[A/fs],  -0.189024,   0.170928,  -0.665383,   0.667741,  
Y Velocity[A/fs],   0.005771,  -0.006069,   0.018754,   0.068541, 
Z Velocity[A/fs],  -0.006217,   0.007746,   0.106739,  -0.025221,  
Speed[A/fs],   0.189214,   0.171211,   0.674151,   0.671723,  
 
C2H2_14r35,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1185960770,    2.1026802063,    0.9995066886,    0.9998987475,  
Time[fs],  60.972000,  62.919000,  26.773000,  26.995000,  
Charge Sum,    6.2206817194, 
X Velocity[A/fs],  -0.172259,   0.164197,  -0.649307,   0.666616,  
Y Velocity[A/fs],   0.006546,   0.003533,  -0.019455,  -0.010235, 
Z Velocity[A/fs],  -0.002450,   0.004975,   0.093136,  -0.028094,  
Speed[A/fs],   0.172401,   0.164310,   0.656241,   0.667286,  
 
C2H2_14r56,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3560347557,    1.9464988708,    0.9990658187,    0.9999598480,  
Time[fs],  62.753000,  64.824000,  26.844000,  26.945000,  
Charge Sum,    6.3015592933, 
X Velocity[A/fs],  -0.162777,   0.155237,  -0.658440,   0.667792,  
Y Velocity[A/fs],   0.008840,  -0.000484,   0.034380,  -0.018857, 
Z Velocity[A/fs],  -0.007640,   0.002658,   0.071315,   0.025789,  
Speed[A/fs],   0.163196,   0.155261,   0.663182,   0.668556,  
 
C2H2_14r77,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.4049944878,    1.9765021801,    0.9991732711,    0.9999547849,  
Time[fs],  62.802000,  62.184000,  26.845000,  26.794000,  
Charge Sum,    6.3806247238, 
X Velocity[A/fs],  -0.161826,   0.162692,  -0.658163,   0.671661,  
Y Velocity[A/fs],  -0.008207,   0.012938,   0.084141,  -0.071777, 
Z Velocity[A/fs],   0.004551,  -0.002594,  -0.049479,   0.087826,  
Speed[A/fs],   0.162098,   0.163226,   0.665361,   0.681171,  
 
C2H2_14r116,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8564341068,    2.3184477091,    0.9995561687,    0.9998905947,  
Time[fs],  60.011000,  59.184000,  26.838000,  27.037000,  
Charge Sum,    6.1743285793, 
X Velocity[A/fs],  -0.180612,   0.182157,  -0.642322,   0.666167,  
Y Velocity[A/fs],   0.005387,  -0.001699,  -0.031511,   0.020377, 
Z Velocity[A/fs],   0.005554,  -0.010755,  -0.041236,   0.100427,  
Speed[A/fs],   0.180777,   0.182482,   0.644415,   0.674003,  
 
C2H2_14r125,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0379718542,    2.2654734850,    0.9990838784,    0.9999400603,  
Time[fs],  57.945000,  61.635000,  26.781000,  27.045000,  
Charge Sum,    6.3024692778, 
X Velocity[A/fs],  -0.187229,   0.171931,  -0.662262,   0.660200,  
Y Velocity[A/fs],   0.001030,  -0.008961,   0.002872,   0.074735, 
Z Velocity[A/fs],   0.001503,  -0.004395,   0.058136,   0.054230,  
Speed[A/fs],   0.187238,   0.172221,   0.664815,   0.666626,  
 
C2H2_14r103,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0742454529,    2.2825161219,    0.9991957883,    0.9998941572,  
Time[fs],  59.051000,  59.386000,  26.802000,  26.827000,  
Charge Sum,    6.3558515203, 
X Velocity[A/fs],  -0.181568,   0.178789,  -0.657319,   0.675887,  
Y Velocity[A/fs],   0.005830,  -0.005621,  -0.056661,   0.103105, 
Z Velocity[A/fs],   0.003607,  -0.003197,  -0.055461,   0.088786,  
Speed[A/fs],   0.181697,   0.178906,   0.662084,   0.689447,  
 
C2H2_14r6,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.5683317184,    1.8170082569,    0.9992293415,    0.9999425325,  
Time[fs],  62.692000,  66.311000,  26.637000,  26.686000,  
Charge Sum,    6.3845118493, 
X Velocity[A/fs],  -0.159249,   0.147361,  -0.673693,   0.667422,  
Y Velocity[A/fs],   0.000701,   0.000386,   0.055506,  -0.017414, 
Z Velocity[A/fs],   0.000122,   0.003597,   0.053478,  -0.029717,  
Speed[A/fs],   0.159251,   0.147406,   0.678088,   0.668310,  
 
C2H2_14r44,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1287735701,    2.2325600386,    0.9994027663,    0.9999223740,  
Time[fs],  59.164000,  60.162000,  26.850000,  26.878000,  
Charge Sum,    6.3606587489, 
X Velocity[A/fs],  -0.180227,   0.175414,  -0.663952,   0.666278,  
Y Velocity[A/fs],  -0.000464,   0.006544,  -0.005954,  -0.030391, 
Z Velocity[A/fs],  -0.004945,   0.008791,   0.111294,  -0.078273,  
Speed[A/fs],   0.180296,   0.175756,   0.673242,   0.671548,  
 
C2H2_14r174,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7808740139,    2.5752421618,    0.9989330731,    0.9999054055,  
Time[fs],  56.384000,  56.697000,  26.826000,  26.784000,  
Charge Sum,    6.3549546543, 
X Velocity[A/fs],  -0.199895,   0.197489,  -0.668935,   0.669925,  
Y Velocity[A/fs],  -0.000684,   0.007946,   0.002785,  -0.036632, 
Z Velocity[A/fs],   0.000350,   0.005223,   0.028956,  -0.030670,  
Speed[A/fs],   0.199896,   0.197717,   0.669567,   0.671627,  
 
C2H2_14r82,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0299135447,    2.2832915783,    0.9986261630,    0.9999535770,  
Time[fs],  57.869000,  60.616000,  26.680000,  26.842000,  
Charge Sum,    6.3117848630, 
X Velocity[A/fs],  -0.186293,   0.173888,  -0.660300,   0.674615,  
Y Velocity[A/fs],   0.000152,  -0.004082,   0.041257,   0.039042, 
Z Velocity[A/fs],  -0.008679,   0.009392,   0.106971,  -0.043984,  
Speed[A/fs],   0.186495,   0.174189,   0.670179,   0.677173,  
 
C2H2_14r114,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3726170063,    1.9535591602,    0.9992394372,    0.9999434721,  
Time[fs],  62.925000,  63.460000,  26.891000,  26.887000,  
Charge Sum,    6.3253590758, 
X Velocity[A/fs],  -0.161828,   0.159061,  -0.650678,   0.663759,  
Y Velocity[A/fs],  -0.004417,   0.005360,   0.102791,  -0.037144, 
Z Velocity[A/fs],  -0.009355,   0.007370,   0.084168,  -0.058317,  
Speed[A/fs],   0.162159,   0.159322,   0.664103,   0.667350,  
 
C2H2_14r58,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1173607111,    2.2033044100,    0.9985322246,    0.9999374398,  
Time[fs],  60.130000,  60.195000,  26.920000,  26.816000,  
Charge Sum,    6.3191347854, 
X Velocity[A/fs],  -0.176761,   0.175694,  -0.660711,   0.663995,  
Y Velocity[A/fs],   0.009054,  -0.001061,  -0.025628,  -0.004240, 
Z Velocity[A/fs],   0.000434,   0.005980,   0.001882,  -0.033490,  
Speed[A/fs],   0.176993,   0.175799,   0.661210,   0.664852,  
 
C2H2_14r138,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.8441507816,    1.5348222256,    0.9992582598,    0.9999293715,  
Time[fs],  66.803000,  68.925000,  26.736000,  26.834000,  
Charge Sum,    6.3781606385, 
X Velocity[A/fs],  -0.141729,   0.135060,  -0.658931,   0.668450,  
