C4H10_14r45,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
X Velocity[A/fs],  -0.157474,  -0.107339,   0.100377,   0.176295,  -0.210755,  -0.471668,  -0.866712,  -0.042376,  -0.579037,   0.514417,  -0.037958,   0.161976,   0.523558,   0.802672,  
Y Velocity[A/fs],  -0.134857,   0.149196,   0.165010,  -0.156638,  -0.762983,  -0.259409,  -0.014306,   0.233275,   0.697186,   0.729273,   0.252869,  -0.785004,  -0.219337,  -0.061816, 
Z Velocity[A/fs],   0.021685,  -0.146218,   0.128550,  -0.032421,  -0.387529,   0.716326,  -0.135589,  -0.859583,   0.111809,  -0.063544,   0.843578,   0.344172,  -0.697061,   0.291125,  
Speed[A/fs],   0.208458,   0.234863,   0.232011,   0.238048,   0.881328,   0.896040,   0.877370,   0.891682,   0.913156,   0.894708,   0.881480,   0.872309,   0.898953,   0.856071,  
 
C4H10_14r2,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.9105086327,    2.0089557171,    1.8917520046,    1.9286270142,    0.9990710848,    0.9966334591,    0.9219546765,    0.9989603380,    0.9959353297,    0.9993367168,    0.9969160305,    0.9977139761,    0.9996838821,    0.9997022515,  
Time[fs],  67.867000,  68.568000,  72.319000,  67.567000,  28.551000,  30.073000,  26.823000,  28.165000,  29.030000,  29.114000,  28.257000,  28.801000,  30.206000,  26.901000,  
Charge Sum,   17.6457511137, 
X Velocity[A/fs],  -0.174660,  -0.120342,   0.108341,   0.174773,  -0.257406,  -0.512607,  -0.865250,  -0.042815,  -0.533254,   0.513834,   0.074161,   0.171904,   0.445247,   0.830063,  
Y Velocity[A/fs],  -0.162086,   0.167488,   0.153475,  -0.154267,  -0.783914,  -0.209755,  -0.028326,   0.221301,   0.732277,   0.726618,   0.238817,  -0.783514,  -0.313674,  -0.061431, 
Z Velocity[A/fs],   0.018552,  -0.158288,   0.154613,  -0.028754,  -0.344721,   0.720420,  -0.167339,  -0.858921,   0.192628,  -0.151687,   0.852196,   0.387677,  -0.715460,   0.161880,  
Speed[A/fs],   0.239002,   0.259980,   0.243305,   0.234884,   0.894210,   0.908718,   0.881738,   0.888005,   0.926119,   0.902778,   0.888128,   0.890921,   0.899177,   0.847929,  
 
C4H10_14r38,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8802790642,    2.0150299072,    1.8422675133,    1.7453563213,    0.9994995202,    0.9973678242,    0.9459681734,    0.9995110228,    0.9978211198,    0.9971981316,    0.9978105384,    0.9969001312,    0.9997885228,    0.9949102979,  
Time[fs],  69.317000,  66.460000,  71.565000,  66.314000,  28.661000,  29.871000,  26.930000,  27.956000,  29.480000,  28.742000,  28.142000,  28.264000,  30.210000,  27.837000,  
Charge Sum,   17.4097080885, 
X Velocity[A/fs],  -0.168850,  -0.114107,   0.114167,   0.177986,  -0.285701,  -0.489251,  -0.858427,  -0.067644,  -0.576381,   0.473758,   0.116239,   0.148816,   0.535027,   0.794224,  
Y Velocity[A/fs],  -0.155817,   0.175804,   0.156085,  -0.140861,  -0.771907,  -0.203358,  -0.077691,   0.162478,   0.709884,   0.754245,   0.121152,  -0.836631,  -0.114224,  -0.112083, 
Z Velocity[A/fs],   0.026644,  -0.144617,   0.149971,  -0.018692,  -0.336238,   0.740508,  -0.190645,  -0.871382,   0.119178,  -0.076369,   0.865055,   0.155898,  -0.702954,   0.357639,  
Speed[A/fs],   0.231299,   0.254640,   0.244720,   0.227751,   0.889113,   0.910534,   0.882767,   0.888978,   0.922146,   0.893960,   0.881198,   0.863945,   0.890756,   0.878214,  
 
C4H10_14r4,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8776807785,    1.7966670990,    1.4627828598,    1.9408261776,    0.9991215483,    0.9972310148,    0.9786860570,    0.9993598493,    0.9998210329,    0.9926960240,    0.9967204460,    0.9993486486,    0.9996751609,    0.9996936051,  
Time[fs],  67.703000,  70.705000,  71.111000,  69.226000,  28.132000,  30.202000,  27.101000,  27.997000,  28.868000,  28.448000,  28.286000,  29.457000,  29.811000,  26.790000,  
Charge Sum,   17.0403103018, 
X Velocity[A/fs],  -0.174508,  -0.101367,   0.108587,   0.169013,  -0.156565,  -0.559202,  -0.842368,  -0.089832,  -0.514489,   0.468297,   0.059137,   0.293836,   0.385561,   0.850433,  
Y Velocity[A/fs],  -0.152269,   0.161008,   0.155681,  -0.150375,  -0.843463,  -0.161085,  -0.086936,   0.145740,   0.738026,   0.753687,   0.180484,  -0.709075,  -0.287858,   0.041607, 
Z Velocity[A/fs],   0.017591,  -0.132338,   0.122667,  -0.019172,  -0.167082,   0.694532,  -0.254089,  -0.869938,   0.097316,  -0.049323,   0.856969,   0.474783,  -0.747282,   0.038532,  
Speed[A/fs],   0.232267,   0.231759,   0.225997,   0.227037,   0.873990,   0.906107,   0.884140,   0.886623,   0.904904,   0.888695,   0.877763,   0.902522,   0.888791,   0.852322,  
 
C4H10_14r44,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.7899980545,    1.6370568275,    2.1645054817,    2.2123899460,    0.9994933471,    0.9972325095,    0.9460557364,    0.9992760293,    0.9969043923,    0.9970943513,    0.9977709067,    0.9989280199,    0.9963869166,    0.9998076598,  
Time[fs],  66.520000,  68.767000,  69.603000,  66.211000,  28.367000,  30.017000,  26.915000,  27.997000,  29.445000,  28.505000,  28.110000,  28.981000,  28.712000,  26.763000,  
Charge Sum,   17.7329001787, 
X Velocity[A/fs],  -0.178507,  -0.121543,   0.120057,   0.180039,  -0.218124,  -0.558289,  -0.858230,  -0.073736,  -0.593758,   0.477997,   0.083221,   0.253535,   0.304921,   0.840576,  
Y Velocity[A/fs],  -0.142119,   0.163226,   0.163335,  -0.156100,  -0.803669,  -0.157613,  -0.099119,   0.233443,   0.701560,   0.755099,   0.095839,  -0.754692,  -0.303421,  -0.031547, 
Z Velocity[A/fs],   0.024332,  -0.134688,   0.166077,  -0.083818,  -0.301806,   0.712164,  -0.180575,  -0.866326,   0.119118,  -0.063792,   0.873589,   0.399642,  -0.787955,   0.063637,  
Speed[A/fs],   0.229466,   0.244042,   0.262057,   0.252600,   0.885747,   0.918535,   0.882604,   0.900252,   0.926781,   0.895950,   0.882762,   0.890816,   0.897727,   0.843572,  
 
C4H10_14r46,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.7598938942,    1.8612248898,    2.0652760267,    1.7017853260,    0.9996972078,    0.9998969159,    0.9855680475,    0.9986128814,    0.9998435225,    0.9995749971,    0.9976216676,    0.9985889232,    0.9998226596,    0.9998651804,  
Time[fs],  70.161000,  71.191000,  71.322000,  68.775000,  28.209000,  31.080000,  27.236000,  27.894000,  28.816000,  29.033000,  27.926000,  28.533000,  30.108000,  26.926000,  
Charge Sum,   17.3672721397, 
X Velocity[A/fs],  -0.164551,  -0.109466,   0.109576,   0.168539,  -0.213037,  -0.663467,  -0.841639,  -0.106691,  -0.509193,   0.509954,   0.077656,   0.171040,   0.477410,   0.833184,  
Y Velocity[A/fs],  -0.147618,   0.149920,   0.157719,  -0.150471,  -0.824991,  -0.027902,  -0.099308,   0.105002,   0.757969,   0.730396,   0.208470,  -0.796430,  -0.254686,  -0.034398, 
Z Velocity[A/fs],   0.055152,  -0.164688,   0.161489,  -0.026674,  -0.232482,   0.633971,  -0.255574,  -0.879280,   0.064468,  -0.120726,   0.865207,   0.374779,  -0.714429,   0.200732,  
Speed[A/fs],   0.227838,   0.248155,   0.250920,   0.227504,   0.883200,   0.918088,   0.885176,   0.891931,   0.915396,   0.898947,   0.893350,   0.896669,   0.896211,   0.857714,  
 
C4H10_14r30,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.5808281898,    1.9638609886,    1.8335134983,    2.1461923122,    0.9982015772,    0.9984356714,    0.9535992928,    0.9993679986,    0.9998772516,    0.9980795338,    0.9977321771,    0.9990568875,    0.9997119039,    0.9999125741,  
Time[fs],  68.765000,  72.914000,  69.571000,  64.931000,  29.775000,  30.008000,  26.818000,  28.322000,  28.567000,  30.526000,  28.098000,  29.049000,  29.985000,  26.716000,  
Charge Sum,   17.4683698572, 
X Velocity[A/fs],  -0.167941,  -0.139046,   0.088640,   0.184165,  -0.266692,  -0.422163,  -0.871340,  -0.038460,  -0.506622,   0.623894,   0.037112,   0.145080,   0.400337,   0.835986,  
Y Velocity[A/fs],  -0.148641,   0.151435,   0.162531,  -0.148963,  -0.706281,  -0.340557,  -0.009764,   0.309629,   0.747250,   0.650543,   0.244691,  -0.760686,  -0.327920,  -0.096837, 
Z Velocity[A/fs],   0.032992,  -0.147929,   0.142963,  -0.026830,  -0.505779,   0.733509,  -0.123761,  -0.847892,   0.184523,  -0.138995,   0.860979,   0.437849,  -0.735747,   0.119450,  
Speed[A/fs],   0.226687,   0.253277,   0.233906,   0.238383,   0.908719,   0.912269,   0.880140,   0.903476,   0.921465,   0.912014,   0.895844,   0.889609,   0.899514,   0.850011,  
 
C4H10_14r6,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.9728629589,    2.0675982237,    1.9363138676,    1.7604708672,    0.9991811775,    0.9950451064,    0.9708184414,    0.9989089196,    0.9944095183,    0.9995534065,    0.9959128229,    0.9948506560,    0.9930435675,    0.9998142760,  
Time[fs],  64.945000,  64.347000,  71.613000,  68.560000,  28.377000,  30.124000,  26.992000,  28.095000,  29.225000,  29.851000,  28.111000,  28.679000,  28.653000,  27.114000,  
Charge Sum,   17.6787838094, 
X Velocity[A/fs],  -0.183935,  -0.124458,   0.123470,   0.169464,  -0.239962,  -0.556660,  -0.855724,  -0.072167,  -0.514585,   0.604398,   0.100527,   0.199188,   0.390952,   0.830268,  
Y Velocity[A/fs],  -0.164249,   0.185223,   0.142260,  -0.123822,  -0.810836,  -0.175394,  -0.043838,   0.279344,   0.730360,   0.689282,   0.112174,  -0.801973,  -0.162483,  -0.125334, 
Z Velocity[A/fs],   0.028769,  -0.134106,   0.164562,  -0.090395,  -0.274449,   0.715442,  -0.266569,  -0.855923,   0.246164,  -0.077209,   0.869466,   0.278362,  -0.782773,   0.150509,  
Speed[A/fs],   0.248270,   0.260349,   0.250127,   0.228520,   0.889021,   0.923304,   0.897354,   0.903242,   0.926725,   0.919983,   0.882417,   0.871964,   0.889931,   0.853057,  
 
C4H10_14r14,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8526623249,    1.8330490589,    1.6135458946,    2.0481109619,    0.9982526716,    0.9976792999,    0.9894439746,    0.9996295271,    0.9981524394,    0.9983633107,    0.9990112716,    0.9988747005,    0.9998009050,    0.9999351163,  
Time[fs],  69.039000,  70.713000,  74.510000,  66.568000,  29.248000,  29.738000,  27.001000,  28.154000,  29.556000,  28.881000,  27.969000,  28.204000,  30.431000,  27.294000,  
Charge Sum,   17.3265114571, 
X Velocity[A/fs],  -0.170152,  -0.113616,   0.100424,   0.178508,  -0.297835,  -0.441052,  -0.856701,  -0.040115,  -0.581396,   0.498047,   0.014954,   0.084635,   0.549821,   0.806583,  
Y Velocity[A/fs],  -0.149457,   0.159969,   0.146671,  -0.155436,  -0.718985,  -0.265447,   0.013596,   0.309330,   0.697331,   0.736512,   0.246646,  -0.843408,  -0.180669,  -0.080510, 
Z Velocity[A/fs],   0.031446,  -0.143266,   0.136762,  -0.022173,  -0.456353,   0.753354,  -0.224874,  -0.840366,   0.208439,  -0.101425,   0.856278,   0.249418,  -0.687031,   0.258076,  
Speed[A/fs],   0.228644,   0.242948,   0.224279,   0.237733,   0.902166,   0.912431,   0.885827,   0.896387,   0.931525,   0.894868,   0.891218,   0.883577,   0.898307,   0.850682,  
 
C4H10_14r40,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8700089455,    1.6710104942,    1.8428542614,    1.9336905479,    0.9993388131,    0.9976207884,    0.9738504812,    0.9994297508,    0.9998627493,    0.9997863627,    0.9988478150,    0.9953883598,    0.9963045826,    0.9998423309,  
Time[fs],  64.431000,  74.714000,  66.844000,  70.329000,  28.783000,  29.976000,  26.667000,  28.194000,  28.623000,  29.443000,  28.038000,  28.107000,  30.683000,  26.909000,  
Charge Sum,   17.2778362829, 
X Velocity[A/fs],  -0.186654,  -0.097475,   0.104116,   0.164166,  -0.254406,  -0.413909,  -0.873829,  -0.052376,  -0.515556,   0.513253,  -0.018020,   0.163500,   0.543120,   0.833612,  
Y Velocity[A/fs],  -0.141913,   0.146508,   0.171661,  -0.156352,  -0.758605,  -0.332019,   0.005806,   0.165453,   0.753579,   0.719441,   0.260786,  -0.807173,  -0.207006,  -0.034598, 
Z Velocity[A/fs],   0.026454,  -0.145386,   0.146321,  -0.022156,  -0.401673,   0.731714,  -0.097865,  -0.870271,   0.053521,  -0.204507,   0.851847,   0.283506,  -0.683772,   0.195844,  
Speed[A/fs],   0.235963,   0.228261,   0.248430,   0.227787,   0.895291,   0.903859,   0.879311,   0.887406,   0.914628,   0.907109,   0.891054,   0.870998,   0.897427,   0.857007,  
 
C4H10_14r39,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.7337331772,    2.0079135895,    1.5978171825,    2.1253885031,    0.9992588850,    0.9971655908,    0.9634239338,    0.9994587104,    0.9978228537,    0.9998044938,    0.9993367149,    0.9985786418,    0.9998823864,    0.9953814615,  
Time[fs],  67.096000,  72.277000,  71.797000,  64.566000,  28.717000,  30.360000,  26.911000,  27.990000,  29.326000,  29.745000,  28.180000,  28.713000,  30.306000,  27.524000,  
Charge Sum,   17.4149661244, 
X Velocity[A/fs],  -0.174249,  -0.102330,   0.090670,   0.186384,  -0.153422,  -0.528488,  -0.846572,  -0.055021,  -0.548494,   0.582983,  -0.044418,   0.163507,   0.562762,   0.797571,  
Y Velocity[A/fs],  -0.147406,   0.154686,   0.153192,  -0.143042,  -0.784671,  -0.281288,  -0.061540,   0.221522,   0.720419,   0.690326,   0.243260,  -0.782055,  -0.128774,  -0.086503, 
Z Velocity[A/fs],   0.026691,  -0.148831,   0.157577,  -0.039179,  -0.392613,   0.697412,  -0.201037,  -0.863864,   0.152848,  -0.132109,   0.859162,   0.355196,  -0.703842,   0.337601,  
Speed[A/fs],   0.229791,   0.237802,   0.237738,   0.238191,   0.890725,   0.919134,   0.872289,   0.893510,   0.918266,   0.913166,   0.894040,   0.874362,   0.910317,   0.870389,  
 
C4H10_14r28,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    2.1106756926,    1.7152831554,    1.6011390686,    2.1104094982,    0.9990669776,    0.9997547788,    0.9845762737,    0.9992469220,    0.9998462525,    0.9997687823,    0.9984802854,    0.9995293260,    0.9997398444,    0.9999567035,  
Time[fs],  65.825000,  68.344000,  73.107000,  67.218000,  28.359000,  30.502000,  27.185000,  28.255000,  28.598000,  29.499000,  28.255000,  29.945000,  30.390000,  27.071000,  
Charge Sum,   17.5174735609, 
X Velocity[A/fs],  -0.183898,  -0.112382,   0.098129,   0.177407,  -0.181414,  -0.584952,  -0.851591,  -0.011667,  -0.521338,   0.558729,  -0.013678,   0.175474,   0.505810,   0.819987,  
Y Velocity[A/fs],  -0.160772,   0.167591,   0.150058,  -0.151706,  -0.799795,  -0.218400,  -0.078864,   0.203727,   0.748628,   0.694461,   0.244739,  -0.712393,  -0.247988,  -0.087904, 
Z Velocity[A/fs],   0.030780,  -0.130150,   0.149579,  -0.041436,  -0.336805,   0.686305,  -0.234761,  -0.862898,   0.055490,  -0.138115,   0.859611,   0.526757,  -0.709984,   0.234775,  
