r_seed=1,   C[0],   C[1],   H[2],   H[3],  
r_seed=52,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.272000,  37.891000,   7.831000,   7.729000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194936,   0.187075,  -0.830872,   0.842873,  
Y Velocity[A/fs],  -0.015930,   0.012994,   0.055169,  -0.033396, 
Z Velocity[A/fs],   0.009260,  -0.001089,   0.003240,  -0.005287,  
Speed[A/fs],   0.195805,   0.187529,   0.832708,   0.843551,  
 
r_seed=53,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  37.557000,  36.478000,   7.892000,   7.589000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.188123,   0.193559,  -0.828231,   0.849500,  
Y Velocity[A/fs],  -0.014934,   0.006211,   0.020065,   0.007082, 
Z Velocity[A/fs],   0.001221,   0.001370,  -0.001368,  -0.020718,  
Speed[A/fs],   0.188718,   0.193664,   0.828476,   0.849782,  
 
r_seed=54,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.842000,  38.156000,   7.775000,   7.670000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197099,   0.185933,  -0.833503,   0.840485,  
Y Velocity[A/fs],   0.001587,  -0.009613,  -0.026645,   0.023317, 
Z Velocity[A/fs],  -0.009460,   0.004542,  -0.007116,   0.012664,  
Speed[A/fs],   0.197332,   0.186237,   0.833959,   0.840904,  
 
r_seed=55,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  37.288000,  36.876000,   7.887000,   7.655000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.189410,   0.191520,  -0.830058,   0.848763,  
Y Velocity[A/fs],  -0.005428,   0.007694,  -0.007807,   0.025692, 
Z Velocity[A/fs],   0.013332,  -0.011289,  -0.005675,  -0.017565,  
Speed[A/fs],   0.189956,   0.192007,   0.830114,   0.849334,  
 
r_seed=56,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.664000,  38.416000,   7.789000,   7.727000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197964,   0.184662,  -0.835006,   0.839771,  
Y Velocity[A/fs],  -0.000579,   0.002078,  -0.026905,   0.046117, 
Z Velocity[A/fs],   0.001008,  -0.000807,  -0.015751,   0.030455,  
Speed[A/fs],   0.197968,   0.184676,   0.835588,   0.841588,  
 
r_seed=57,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.353000,  37.757000,   7.860000,   7.666000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194146,   0.187569,  -0.833892,   0.843322,  
Y Velocity[A/fs],   0.002958,  -0.001222,  -0.008298,  -0.035290, 
Z Velocity[A/fs],  -0.015504,   0.006829,   0.009758,  -0.000652,  
Speed[A/fs],   0.194786,   0.187697,   0.833990,   0.844060,  
 
r_seed=58,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.076000,  37.901000,   7.805000,   7.686000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196499,   0.187601,  -0.829084,   0.840251,  
Y Velocity[A/fs],   0.008335,  -0.011333,  -0.003925,  -0.018568, 
Z Velocity[A/fs],   0.010033,  -0.002400,  -0.062988,  -0.000263,  
Speed[A/fs],   0.196931,   0.187959,   0.831482,   0.840456,  
 
r_seed=59,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.919000,  38.200000,   7.828000,   7.730000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196612,   0.185663,  -0.834931,   0.840880,  
Y Velocity[A/fs],   0.010299,   0.002218,  -0.000679,  -0.040277, 
Z Velocity[A/fs],   0.000619,  -0.001495,  -0.012961,   0.034141,  
Speed[A/fs],   0.196883,   0.185682,   0.835032,   0.842536,  
 
r_seed=60,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.903000,  37.039000,   7.813000,   7.622000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.191348,   0.190734,  -0.829227,   0.847193,  
Y Velocity[A/fs],   0.003380,  -0.000369,   0.016329,   0.015757, 
Z Velocity[A/fs],  -0.014398,   0.004625,   0.038695,  -0.004473,  
Speed[A/fs],   0.191918,   0.190791,   0.830290,   0.847351,  
 
r_seed=61,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.680000,  38.544000,   7.836000,   7.778000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.198127,   0.184306,  -0.835432,   0.840042,  
Y Velocity[A/fs],  -0.007023,   0.000821,   0.012000,  -0.026416, 
Z Velocity[A/fs],   0.007059,  -0.001055,  -0.021384,  -0.034276,  
Speed[A/fs],   0.198377,   0.184310,   0.835792,   0.841156,  
 
r_seed=62,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.441000,  37.508000,   7.766000,   7.691000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193891,   0.188592,  -0.830966,   0.845350,  
Y Velocity[A/fs],  -0.005999,  -0.010099,   0.026125,   0.011362, 
Z Velocity[A/fs],  -0.000708,  -0.001081,   0.007897,   0.018839,  
Speed[A/fs],   0.193985,   0.188866,   0.831414,   0.845637,  
 
r_seed=63,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.506000,  37.610000,   7.871000,   7.696000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194036,   0.188815,  -0.830047,   0.841639,  
Y Velocity[A/fs],  -0.009096,   0.016603,   0.041565,  -0.040513, 
Z Velocity[A/fs],  -0.012094,   0.004451,  -0.017537,  -0.012269,  
Speed[A/fs],   0.194626,   0.189596,   0.831272,   0.842703,  
 
r_seed=64,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.096000,  37.879000,   7.797000,   7.679000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195745,   0.187096,  -0.831177,   0.842073,  
Y Velocity[A/fs],  -0.004989,   0.000792,   0.062601,  -0.001834, 
Z Velocity[A/fs],   0.007095,  -0.006477,  -0.012464,   0.038002,  
Speed[A/fs],   0.195937,   0.187210,   0.833624,   0.842932,  
 
r_seed=65,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.793000,  37.350000,   7.888000,   7.729000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192198,   0.189498,  -0.830150,   0.846969,  
Y Velocity[A/fs],   0.003294,  -0.008183,  -0.024868,   0.029547, 
Z Velocity[A/fs],  -0.003079,  -0.001985,   0.054653,   0.009951,  
Speed[A/fs],   0.192250,   0.189685,   0.832319,   0.847543,  
 
r_seed=66,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.796000,  38.304000,   7.800000,   7.715000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197253,   0.185147,  -0.834594,   0.841169,  
Y Velocity[A/fs],   0.001825,   0.008814,  -0.024066,  -0.007929, 
Z Velocity[A/fs],  -0.009734,   0.002605,  -0.016602,  -0.018457,  
Speed[A/fs],   0.197502,   0.185375,   0.835106,   0.841409,  
 
r_seed=67,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.835000,  37.124000,   7.866000,   7.625000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.191845,   0.190675,  -0.830580,   0.844664,  
Y Velocity[A/fs],   0.002553,   0.002218,  -0.026523,   0.050316, 
Z Velocity[A/fs],   0.004648,  -0.004822,   0.011326,   0.031740,  
Speed[A/fs],   0.191919,   0.190748,   0.831081,   0.846756,  
 
r_seed=68,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.708000,  38.387000,   7.777000,   7.787000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.198589,   0.185369,  -0.831343,   0.839281,  
Y Velocity[A/fs],   0.011922,  -0.003618,  -0.030233,  -0.035019, 
Z Velocity[A/fs],   0.001312,  -0.003230,  -0.036668,  -0.001900,  
Speed[A/fs],   0.198950,   0.185433,   0.832700,   0.840014,  
 
r_seed=69,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.594000,  37.606000,   7.869000,   7.697000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193151,   0.188386,  -0.831996,   0.844045,  
Y Velocity[A/fs],   0.017310,  -0.009851,  -0.008955,  -0.029589, 
Z Velocity[A/fs],  -0.011724,   0.004099,   0.004128,  -0.023441,  
Speed[A/fs],   0.194279,   0.188688,   0.832054,   0.844889,  
 
r_seed=70,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.532000,  38.547000,   7.803000,   7.727000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.199564,   0.184967,  -0.832974,   0.835762,  
Y Velocity[A/fs],  -0.010637,   0.012365,   0.003991,  -0.033812, 
Z Velocity[A/fs],   0.004542,  -0.006254,   0.012825,   0.026024,  
Speed[A/fs],   0.199899,   0.185486,   0.833082,   0.836851,  
 
r_seed=71,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.918000,  38.154000,   7.827000,   7.688000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196294,   0.185627,  -0.835426,   0.842055,  
Y Velocity[A/fs],   0.000050,  -0.000326,  -0.031136,  -0.009920, 
Z Velocity[A/fs],  -0.000326,   0.004854,  -0.021489,  -0.033479,  
Speed[A/fs],   0.196295,   0.185691,   0.836282,   0.842778,  
 
r_seed=72,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.431000,  37.636000,   7.788000,   7.718000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194089,   0.188159,  -0.830728,   0.843783,  
Y Velocity[A/fs],  -0.008332,   0.003029,   0.027911,  -0.029797, 
Z Velocity[A/fs],   0.013238,  -0.009865,   0.013363,   0.039824,  
Speed[A/fs],   0.194718,   0.188441,   0.831304,   0.845248,  
 
r_seed=73,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.209000,  37.899000,   7.864000,   7.698000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195550,   0.187458,  -0.830360,   0.841085,  
Y Velocity[A/fs],   0.000274,  -0.010721,   0.024557,   0.010544, 
Z Velocity[A/fs],   0.011461,  -0.014034,  -0.059051,   0.008988,  
Speed[A/fs],   0.195886,   0.188288,   0.832819,   0.841199,  
 
r_seed=74,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.419000,  37.456000,   7.797000,   7.607000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193818,   0.188935,  -0.831701,   0.843917,  
Y Velocity[A/fs],  -0.003319,   0.006360,   0.028488,  -0.035370, 
Z Velocity[A/fs],  -0.001037,  -0.002110,   0.001535,  -0.016585,  
Speed[A/fs],   0.193849,   0.189054,   0.832190,   0.844821,  
 
r_seed=75,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.028000,  38.172000,   7.864000,   7.759000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196739,   0.186402,  -0.831681,   0.839429,  
Y Velocity[A/fs],   0.001523,  -0.002398,   0.045699,  -0.002629, 
Z Velocity[A/fs],   0.014405,  -0.013682,   0.021752,   0.041204,  
Speed[A/fs],   0.197272,   0.186919,   0.833220,   0.840444,  
 
r_seed=76,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.744000,  37.291000,   7.864000,   7.711000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193365,   0.190708,  -0.827237,   0.842884,  
Y Velocity[A/fs],   0.006732,  -0.014700,   0.012644,  -0.010967, 
Z Velocity[A/fs],  -0.005245,  -0.013842,   0.024825,   0.007557,  
Speed[A/fs],   0.193553,   0.191774,   0.827706,   0.842989,  
 
r_seed=77,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  37.256000,  36.713000,   7.866000,   7.609000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.189482,   0.192274,  -0.829601,   0.848849,  
Y Velocity[A/fs],   0.006018,   0.002800,  -0.023361,  -0.007931, 
Z Velocity[A/fs],  -0.000743,  -0.004024,   0.008676,  -0.031630,  
Speed[A/fs],   0.189579,   0.192337,   0.829975,   0.849475,  
 
r_seed=78,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.347000,  37.735000,   7.812000,   7.731000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194903,   0.188055,  -0.828762,   0.842505,  
Y Velocity[A/fs],   0.013270,  -0.002967,  -0.025846,   0.006117, 
Z Velocity[A/fs],   0.014619,  -0.009138,  -0.051116,   0.036639,  
Speed[A/fs],   0.195900,   0.188300,   0.830739,   0.843324,  
 
r_seed=79,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.270000,  37.842000,   7.850000,   7.701000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194575,   0.187104,  -0.834303,   0.843709,  
Y Velocity[A/fs],  -0.004619,  -0.000043,  -0.021192,  -0.039950, 
Z Velocity[A/fs],   0.004055,  -0.008259,   0.004839,  -0.008151,  
Speed[A/fs],   0.194672,   0.187286,   0.834586,   0.844693,  
 
r_seed=80,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.239000,  37.710000,   7.823000,   7.689000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195430,   0.188397,  -0.831037,   0.839562,  
Y Velocity[A/fs],  -0.002165,  -0.012279,   0.002044,   0.052190, 
Z Velocity[A/fs],  -0.002683,   0.000656,   0.017233,  -0.047670,  
Speed[A/fs],   0.195460,   0.188798,   0.831218,   0.842532,  
 
r_seed=81,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.564000,  38.537000,   7.800000,   7.724000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.198538,   0.184182,  -0.834952,   0.839443,  
Y Velocity[A/fs],   0.003280,  -0.000412,  -0.038982,   0.029441, 
Z Velocity[A/fs],   0.003150,  -0.001967,  -0.027987,   0.027541,  
Speed[A/fs],   0.198590,   0.184193,   0.836330,   0.840410,  
 
r_seed=82,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.496000,  38.626000,   7.758000,   7.755000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.199459,   0.184163,  -0.833705,   0.838283,  
Y Velocity[A/fs],  -0.002048,   0.000198,   0.007895,   0.013683, 
Z Velocity[A/fs],   0.005228,  -0.014885,   0.018072,  -0.014894,  
Speed[A/fs],   0.199538,   0.184764,   0.833938,   0.838527,  
 
r_seed=83,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.690000,  37.286000,   7.892000,   7.651000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193030,   0.190419,  -0.830350,   0.841720,  
Y Velocity[A/fs],   0.000947,  -0.004514,   0.022809,  -0.038845, 
Z Velocity[A/fs],  -0.000633,  -0.007928,  -0.017028,   0.057051,  
Speed[A/fs],   0.193034,   0.190637,   0.830838,   0.844545,  
 
r_seed=84,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.716000,  37.344000,   7.813000,   7.680000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192347,   0.189314,  -0.831025,   0.845776,  
Y Velocity[A/fs],  -0.001872,   0.007331,   0.003816,   0.046940, 
Z Velocity[A/fs],   0.010481,  -0.011942,  -0.001650,   0.011451,  
Speed[A/fs],   0.192642,   0.189832,   0.831035,   0.847155,  
 
r_seed=85,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.017000,  38.060000,   7.863000,   7.743000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196801,   0.186916,  -0.830842,   0.839914,  
Y Velocity[A/fs],  -0.001865,   0.005366,   0.020637,   0.033239, 
Z Velocity[A/fs],  -0.001225,  -0.004255,   0.061202,  -0.032110,  
Speed[A/fs],   0.196813,   0.187042,   0.833348,   0.841185,  
 
r_seed=86,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.081000,  38.004000,   7.831000,   7.734000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196658,   0.187378,  -0.830657,   0.837576,  
Y Velocity[A/fs],   0.007498,  -0.018233,   0.011103,   0.059650, 
Z Velocity[A/fs],  -0.005437,   0.011926,  -0.004652,  -0.006980,  
Speed[A/fs],   0.196876,   0.188641,   0.830744,   0.839726,  
 
r_seed=87,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.174000,  37.956000,   7.854000,   7.685000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195592,   0.187082,  -0.830808,   0.840901,  
Y Velocity[A/fs],   0.016309,  -0.012161,  -0.057019,   0.024343, 
Z Velocity[A/fs],   0.008275,  -0.007583,   0.021182,  -0.004984,  
Speed[A/fs],   0.196445,   0.187630,   0.833031,   0.841268,  
 
r_seed=88,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.320000,  37.784000,   7.798000,   7.761000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195031,   0.187777,  -0.830572,   0.842984,  
Y Velocity[A/fs],  -0.006803,   0.011468,  -0.012775,  -0.012159, 
Z Velocity[A/fs],   0.003226,  -0.007073,  -0.022146,  -0.051928,  
Speed[A/fs],   0.195176,   0.188260,   0.830966,   0.844670,  
 
r_seed=89,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.636000,  37.430000,   7.846000,   7.670000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192408,   0.188670,  -0.833254,   0.847000,  
Y Velocity[A/fs],  -0.008035,   0.005320,  -0.021124,   0.013349, 
Z Velocity[A/fs],  -0.003711,  -0.003918,   0.009850,   0.013070,  
Speed[A/fs],   0.192612,   0.188786,   0.833580,   0.847206,  
 
r_seed=90,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.205000,  37.911000,   7.835000,   7.748000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195587,   0.187302,  -0.830572,   0.840493,  
Y Velocity[A/fs],  -0.004847,  -0.001275,  -0.015353,   0.033766, 
Z Velocity[A/fs],   0.011925,  -0.013817,  -0.050301,   0.053800,  
Speed[A/fs],   0.196010,   0.187815,   0.832236,   0.842890,  
 
r_seed=91,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.943000,  37.935000,   7.843000,   7.671000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197713,   0.188123,  -0.829473,   0.837589,  
Y Velocity[A/fs],   0.008065,  -0.002102,  -0.028720,   0.011561, 
Z Velocity[A/fs],  -0.006642,  -0.001381,   0.024566,   0.021713,  
Speed[A/fs],   0.197989,   0.188140,   0.830334,   0.837950,  
 
r_seed=92,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.581000,  38.466000,   7.769000,   7.747000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.198985,   0.184886,  -0.832856,   0.838020,  
Y Velocity[A/fs],  -0.002524,   0.008002,  -0.000975,  -0.044303, 
Z Velocity[A/fs],  -0.003030,  -0.007657,   0.040458,   0.007752,  
Speed[A/fs],   0.199024,   0.185217,   0.833838,   0.839226,  
 
r_seed=93,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.580000,  37.531000,   7.861000,   7.681000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193503,   0.189001,  -0.830205,   0.843362,  
Y Velocity[A/fs],   0.010854,  -0.017556,  -0.032352,  -0.029513, 
Z Velocity[A/fs],   0.003735,   0.000446,   0.024617,   0.012218,  
Speed[A/fs],   0.193843,   0.189815,   0.831199,   0.843967,  
 
r_seed=94,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.700000,  38.564000,   7.841000,   7.796000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.198167,   0.184312,  -0.835041,   0.840399,  
Y Velocity[A/fs],   0.009101,  -0.005392,   0.008082,   0.013885, 
Z Velocity[A/fs],   0.000208,  -0.005940,  -0.029116,   0.025011,  
Speed[A/fs],   0.198376,   0.184487,   0.835587,   0.840885,  
 
r_seed=95,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.894000,  37.312000,   7.905000,   7.680000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.191612,   0.189743,  -0.830497,   0.845916,  
Y Velocity[A/fs],   0.013379,  -0.017806,  -0.040018,   0.002516, 
Z Velocity[A/fs],   0.005597,  -0.000447,  -0.025575,   0.009014,  
Speed[A/fs],   0.192161,   0.190577,   0.831853,   0.845968,  
 
r_seed=96,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.546000,  37.609000,   7.873000,   7.800000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194721,   0.189435,  -0.827333,   0.841525,  
Y Velocity[A/fs],   0.012614,  -0.016805,   0.007850,   0.020016, 
Z Velocity[A/fs],  -0.000348,   0.004705,   0.036586,  -0.038511,  
Speed[A/fs],   0.195129,   0.190237,   0.828179,   0.842644,  
 
r_seed=97,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.392000,  37.566000,   7.852000,   7.621000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194465,   0.188991,  -0.830661,   0.842195,  
Y Velocity[A/fs],  -0.014101,   0.002280,   0.030022,  -0.002465, 
Z Velocity[A/fs],   0.000137,  -0.009608,   0.012206,   0.013306,  
Speed[A/fs],   0.194976,   0.189249,   0.831293,   0.842304,  
 
r_seed=98,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.671000,  37.239000,   7.784000,   7.651000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192934,   0.190130,  -0.829128,   0.845275,  
Y Velocity[A/fs],   0.001463,  -0.012349,  -0.030537,  -0.007349, 
Z Velocity[A/fs],   0.002787,   0.003742,  -0.022753,   0.006488,  
Speed[A/fs],   0.192960,   0.190567,   0.830002,   0.845332,  
 
r_seed=99,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.646000,  38.496000,   7.836000,   7.735000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.198559,   0.184812,  -0.833684,   0.838704,  
Y Velocity[A/fs],  -0.004559,   0.006189,  -0.050451,  -0.009789, 
Z Velocity[A/fs],  -0.002139,   0.009298,   0.015394,   0.008517,  
Speed[A/fs],   0.198622,   0.185150,   0.835351,   0.838804,  
 
r_seed=100,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.327000,  37.658000,   7.816000,   7.671000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194520,   0.188069,  -0.830037,   0.843895,  
Y Velocity[A/fs],  -0.004207,   0.002604,  -0.052588,   0.010543, 
Z Velocity[A/fs],  -0.009378,   0.004386,   0.049866,   0.005178,  
Speed[A/fs],   0.194791,   0.188138,   0.833195,   0.843977,  
 
r_seed=101,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  37.112000,  36.930000,   7.845000,   7.693000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.191463,   0.192257,  -0.824109,   0.844485,  
Y Velocity[A/fs],   0.011106,  -0.011847,  -0.016241,   0.032165, 
Z Velocity[A/fs],   0.018325,  -0.006520,  -0.053850,  -0.006236,  
Speed[A/fs],   0.192659,   0.192732,   0.826026,   0.845121,  
 
r_seed=102,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.096000,  37.983000,   7.786000,   7.718000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195987,   0.186778,  -0.831897,   0.842096,  
Y Velocity[A/fs],  -0.002673,   0.011784,  -0.014133,   0.021623, 
Z Velocity[A/fs],  -0.004849,   0.013176,   0.021177,   0.009383,  
Speed[A/fs],   0.196065,   0.187612,   0.832287,   0.842426,  
 
r_seed=103,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
