r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Z Velocity[A/fs],   0.017001,  -0.013640,  -0.020885,  -0.030527,  
Speed[A/fs],   0.194133,   0.188900,   0.830872,   0.845969,  
 
r_seed=13,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.343000,  37.824000,   7.934000,   7.730000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195098,   0.188164,  -0.832603,   0.840626,  
Y Velocity[A/fs],   0.000699,   0.006446,  -0.011844,  -0.024527, 
Z Velocity[A/fs],   0.002454,  -0.012461,   0.037022,   0.021934,  
Speed[A/fs],   0.195115,   0.188686,   0.833510,   0.841270,  
 
r_seed=14,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.458000,  37.558000,   7.825000,   7.654000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193651,   0.188444,  -0.832182,   0.844118,  
Y Velocity[A/fs],   0.008431,  -0.009362,   0.004822,   0.032043, 
Z Velocity[A/fs],  -0.000507,  -0.009808,  -0.026977,  -0.004007,  
Speed[A/fs],   0.193835,   0.188931,   0.832633,   0.844735,  
 
r_seed=15,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.106000,  38.117000,   7.872000,   7.770000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196418,   0.186746,  -0.832138,   0.839254,  
Y Velocity[A/fs],   0.012519,  -0.007867,   0.002619,  -0.014995, 
Z Velocity[A/fs],   0.013065,  -0.006703,  -0.002168,  -0.054361,  
Speed[A/fs],   0.197250,   0.187032,   0.832145,   0.841146,  
 
r_seed=16,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.114000,  38.086000,   7.805000,   7.728000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195603,   0.186040,  -0.832788,   0.842824,  
Y Velocity[A/fs],  -0.019736,   0.010297,   0.022052,   0.012637, 
Z Velocity[A/fs],   0.001648,  -0.009283,   0.016580,   0.011205,  
Speed[A/fs],   0.196603,   0.186556,   0.833245,   0.842994,  
 
r_seed=17,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  37.429000,  36.661000,   7.920000,   7.640000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.188787,   0.192678,  -0.829416,   0.849438,  
Y Velocity[A/fs],  -0.006967,   0.003228,   0.035115,  -0.018581, 
Z Velocity[A/fs],  -0.003741,  -0.000278,  -0.020047,  -0.017690,  
Speed[A/fs],   0.188953,   0.192706,   0.830401,   0.849826,  
 
r_seed=18,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.756000,  37.190000,   7.850000,   7.633000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192763,   0.190868,  -0.828808,   0.841867,  
Y Velocity[A/fs],  -0.002400,  -0.004711,   0.009123,   0.007855, 
Z Velocity[A/fs],   0.009769,  -0.013668,   0.019885,   0.064404,  
Speed[A/fs],   0.193026,   0.191415,   0.829097,   0.844364,  
 
r_seed=19,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.421000,  37.767000,   7.885000,   7.725000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193966,   0.187577,  -0.833331,   0.844389,  
Y Velocity[A/fs],  -0.004221,   0.004727,  -0.040056,   0.002970, 
Z Velocity[A/fs],  -0.004345,   0.010093,  -0.023439,  -0.029392,  
Speed[A/fs],   0.194061,   0.187908,   0.834623,   0.844906,  
 
r_seed=20,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.897000,  38.103000,   7.795000,   7.723000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197300,   0.186527,  -0.831430,   0.840086,  
Y Velocity[A/fs],   0.000719,   0.003742,  -0.045257,  -0.000227, 
Z Velocity[A/fs],  -0.004745,  -0.006350,   0.011233,  -0.039583,  
Speed[A/fs],   0.197358,   0.186673,   0.832736,   0.841018,  
 
r_seed=21,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.401000,  37.750000,   7.877000,   7.695000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194058,   0.187727,  -0.832985,   0.842491,  
Y Velocity[A/fs],   0.001534,  -0.002898,   0.030974,   0.009035, 
Z Velocity[A/fs],   0.011545,  -0.013963,  -0.024989,   0.050613,  
Speed[A/fs],   0.194407,   0.188268,   0.833935,   0.844058,  
 
r_seed=22,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.516000,  38.780000,   7.796000,   7.778000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.199367,   0.183528,  -0.834065,   0.837764,  
Y Velocity[A/fs],   0.014591,  -0.015115,  -0.012565,  -0.003203, 
Z Velocity[A/fs],  -0.006993,   0.011315,  -0.007058,  -0.010803,  
Speed[A/fs],   0.200023,   0.184497,   0.834189,   0.837839,  
 
r_seed=23,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.748000,  37.399000,   7.897000,   7.716000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192914,   0.189913,  -0.829812,   0.841812,  
Y Velocity[A/fs],   0.000474,   0.008636,  -0.012486,   0.033241, 
Z Velocity[A/fs],  -0.011487,   0.016731,   0.011249,  -0.057722,  
Speed[A/fs],   0.193257,   0.190844,   0.829982,   0.844444,  
 
r_seed=24,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.727000,  37.208000,   7.799000,   7.645000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192198,   0.189849,  -0.830028,   0.846935,  
Y Velocity[A/fs],   0.009664,  -0.001792,  -0.010099,  -0.014801, 
Z Velocity[A/fs],   0.005850,   0.003084,  -0.043634,   0.008964,  
