C2H2_14r176, C[0], C[1], H[2], H[3], 
C2H2_14r123, C[0], C[1], H[2], H[3], 
Densities, 2.16540090967047, 1.668842675876631, 0.0007076340157930876, 9.555490404326733e-05, 
Time[fs], 65.500000, 65.500000, 26.500000, 26.500000, 
Density Sum, 3.835046774466937,,,,
X Velocity[A/fs],-0.150145,0.148855,-0.660337,0.660708,
Y Velocity[A/fs],-0.005657,0.000336,-0.057638,-0.014071,
Z Velocity[A/fs],-0.004300,-0.004236,0.042074,-0.036096,
Speed[A/fs],0.150314,0.148916,0.664181,0.661843,
,,,,,
C2H2_14r110, C[0], C[1], H[2], H[3], 
Densities, 2.277367967528634, 1.418819827534289, 0.0008061024805032833, 5.004046406687647e-05, 
Time[fs], 64.500000, 63.500000, 26.500000, 26.500000, 
Density Sum, 3.697043938007495,,,,
X Velocity[A/fs],-0.152754,0.157385,-0.668364,0.669420,
Y Velocity[A/fs],-0.004525,-0.001847,-0.067748,0.062186,
Z Velocity[A/fs],-0.007572,0.000017,-0.032036,-0.029083,
Speed[A/fs],0.153008,0.157396,0.672552,0.672931,
,,,,,
C2H2_14r21, C[0], C[1], H[2], H[3], 
Densities, 1.919624491106062, 1.741730602449259, 0.0006138624906526354, 7.067954463567752e-05, 
Time[fs], 62.000000, 64.000000, 26.500000, 26.500000, 
Density Sum, 3.66203963559061,,,,
X Velocity[A/fs],-0.161851,0.155838,-0.669374,0.664368,
Y Velocity[A/fs],0.005761,0.009541,0.051360,0.043912,
Z Velocity[A/fs],-0.006966,0.008862,0.087735,-0.058638,
Speed[A/fs],0.162103,0.156381,0.677050,0.668394,
,,,,,
C2H2_14r111, C[0], C[1], H[2], H[3], 
Densities, 1.883721894682024, 1.807058270753513, 0.0008632197184062163, 5.390483816934805e-05, 
Time[fs], 63.500000, 63.500000, 26.500000, 26.500000, 
Density Sum, 3.691697289992112,,,,
X Velocity[A/fs],-0.158016,0.157182,-0.663940,0.652922,
Y Velocity[A/fs],0.003823,0.002013,0.050184,0.037510,
Z Velocity[A/fs],0.004218,-0.002290,0.077551,-0.081631,
Speed[A/fs],0.158118,0.157212,0.670335,0.659074,
,,,,,
C2H2_14r64, C[0], C[1], H[2], H[3], 
Densities, 2.16164771151539, 1.444050111486927, 0.0007655451245769183, 6.312285859821802e-05, 
Time[fs], 61.500000, 61.500000, 26.500000, 26.500000, 
Density Sum, 3.606526490985492,,,,
X Velocity[A/fs],-0.161352,0.163276,-0.669994,0.669673,
Y Velocity[A/fs],-0.002062,0.003394,-0.084492,0.064004,
Z Velocity[A/fs],0.000445,0.003135,0.087574,-0.079637,
Speed[A/fs],0.161365,0.163342,0.680955,0.677422,
,,,,,
C2H2_14r119, C[0], C[1], H[2], H[3], 
Densities, 1.933146882320884, 1.719154605777621, 0.0006163108421442158, 5.752077253377951e-05, 
Time[fs], 61.500000, 66.000000, 26.500000, 26.500000, 
Density Sum, 3.652975319713183,,,,
X Velocity[A/fs],-0.163217,0.149367,-0.675652,0.660508,
Y Velocity[A/fs],-0.006141,0.002490,0.001577,0.048273,
Z Velocity[A/fs],0.001397,-0.003967,0.090122,-0.046039,
Speed[A/fs],0.163339,0.149441,0.681638,0.663868,
,,,,,
C2H2_14r35, C[0], C[1], H[2], H[3], 
Densities, 1.881403946683252, 1.897319759948665, 0.0004933114104305302, 0.0001012524596742475, 
Time[fs], 65.500000, 66.500000, 26.500000, 26.500000, 
Density Sum, 3.779318270502022,,,,
X Velocity[A/fs],-0.151489,0.148103,-0.660025,0.657987,
Y Velocity[A/fs],-0.000256,0.002104,-0.038133,-0.031052,
Z Velocity[A/fs],0.000059,0.004647,0.075157,-0.048893,
Speed[A/fs],0.151489,0.148191,0.665384,0.660531,
,,,,,
C2H2_14r56, C[0], C[1], H[2], H[3], 
Densities, 1.643965190687375, 2.053501164760148, 0.0009341812864182725, 4.015197400265943e-05, 
Time[fs], 64.500000, 65.000000, 26.500000, 26.500000, 
Density Sum, 3.698440688707943,,,,
X Velocity[A/fs],-0.154162,0.151844,-0.670548,0.659855,
Y Velocity[A/fs],0.013480,0.001167,0.014652,-0.039700,
Z Velocity[A/fs],-0.007928,-0.003088,0.051935,0.005194,
Speed[A/fs],0.154953,0.151880,0.672715,0.661068,
,,,,,
C2H2_14r77, C[0], C[1], H[2], H[3], 
Densities, 1.595005518938193, 2.023497930168155, 0.0008267289661277153, 4.521507698127215e-05, 
Time[fs], 63.000000, 61.000000, 26.500000, 26.500000, 
Density Sum, 3.619375393149458,,,,
X Velocity[A/fs],-0.158871,0.164320,-0.670481,0.666764,
Y Velocity[A/fs],-0.008674,0.012010,0.064729,-0.091213,
Z Velocity[A/fs],-0.000206,-0.004931,-0.069619,0.069376,
Speed[A/fs],0.159108,0.164832,0.677186,0.676541,
,,,,,
C2H2_14r116, C[0], C[1], H[2], H[3], 
Densities, 2.143566000079831, 1.68155225736906, 0.0004438313555150533, 0.0001094052773971453, 
Time[fs], 68.000000, 65.000000, 26.500000, 26.500000, 
Density Sum, 3.825671494081803,,,,
X Velocity[A/fs],-0.143238,0.150594,-0.653698,0.657108,
Y Velocity[A/fs],-0.001516,-0.000584,-0.051434,-0.000084,
Z Velocity[A/fs],-0.006051,-0.003441,-0.061119,0.080202,
Speed[A/fs],0.143373,0.150634,0.658561,0.661985,
,,,,,
C2H2_14r125, C[0], C[1], H[2], H[3], 
Densities, 1.962028203616962, 1.734526551220922, 0.0009161216194011221, 5.993971066383272e-05, 
Time[fs], 62.000000, 65.000000, 26.500000, 26.500000, 
Density Sum, 3.697530816167948,,,,
X Velocity[A/fs],-0.162180,0.152064,-0.673841,0.651570,
Y Velocity[A/fs],-0.000167,-0.006683,-0.015720,0.054572,
Z Velocity[A/fs],0.001746,0.002802,0.039890,0.034024,
Speed[A/fs],0.162190,0.152236,0.675203,0.654736,
,,,,,
C2H2_14r103, C[0], C[1], H[2], H[3], 
Densities, 1.925754534839283, 1.717483840495887, 0.0008042116731999154, 0.0001058428096589588, 
Time[fs], 62.500000, 62.000000, 26.500000, 26.500000, 
Density Sum, 3.64414842981803,,,,
X Velocity[A/fs],-0.158840,0.161454,-0.668963,0.670138,
Y Velocity[A/fs],0.003657,-0.003328,-0.076103,0.084098,
Z Velocity[A/fs],0.003465,-0.001334,-0.074875,0.069702,
Speed[A/fs],0.158920,0.161494,0.677429,0.678981,
,,,,,
C2H2_14r6, C[0], C[1], H[2], H[3], 
Densities, 1.431668331545695, 2.182991668682604, 0.0007706584700843559, 5.746754121572106e-05, 
Time[fs], 61.500000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.6154881262396,,,,
X Velocity[A/fs],-0.163784,0.156888,-0.682084,0.666268,
Y Velocity[A/fs],0.000455,0.004034,0.041696,-0.033570,
Z Velocity[A/fs],0.000527,0.003693,0.039654,-0.045966,
Speed[A/fs],0.163786,0.156983,0.684507,0.668695,
,,,,,
C2H2_14r44, C[0], C[1], H[2], H[3], 
Densities, 1.871226476284835, 1.767439944545567, 0.0005972337048483049, 7.762604501537324e-05, 
Time[fs], 62.500000, 62.500000, 26.500000, 26.500000, 
Density Sum, 3.639341280580266,,,,
X Velocity[A/fs],-0.160488,0.160969,-0.676157,0.659527,
Y Velocity[A/fs],-0.001893,0.008863,-0.025981,-0.050919,
Z Velocity[A/fs],-0.003238,0.004034,0.091920,-0.099023,
Speed[A/fs],0.160532,0.161263,0.682871,0.668861,
,,,,,
C2H2_14r174, C[0], C[1], H[2], H[3], 
Densities, 2.219125927479366, 1.424757833627249, 0.001066926869476661, 9.459448454127421e-05, 
Time[fs], 64.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.645045282460633,,,,
X Velocity[A/fs],-0.154005,0.158800,-0.681452,0.665015,
Y Velocity[A/fs],0.000538,0.002693,-0.016833,-0.055649,
Z Velocity[A/fs],0.000401,0.006068,0.009534,-0.049622,
Speed[A/fs],0.154007,0.158939,0.681726,0.669182,
,,,,,
C2H2_14r82, C[0], C[1], H[2], H[3], 
Densities, 1.970086495613547, 1.716708400989519, 0.001373837039036422, 4.642298399140528e-05, 
Time[fs], 61.500000, 64.000000, 26.500000, 26.500000, 
Density Sum, 3.688215156626093,,,,
X Velocity[A/fs],-0.161550,0.152435,-0.668925,0.668820,
Y Velocity[A/fs],0.001059,-0.003470,0.025771,0.019481,
Z Velocity[A/fs],0.005096,0.008276,0.091861,-0.064126,
Speed[A/fs],0.161634,0.152699,0.675695,0.672170,
,,,,,
C2H2_14r114, C[0], C[1], H[2], H[3], 
Densities, 1.627382997202766, 2.046440784732523, 0.0007605628623767292, 5.652789414185337e-05, 
Time[fs], 64.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.674640872691807,,,,
X Velocity[A/fs],-0.155873,0.157806,-0.663269,0.656285,
Y Velocity[A/fs],-0.000769,-0.003286,0.082926,-0.057672,
Z Velocity[A/fs],-0.000394,0.004995,0.064244,-0.078911,
Speed[A/fs],0.155876,0.157919,0.671513,0.663523,
,,,,,
C2H2_14r58, C[0], C[1], H[2], H[3], 
Densities, 1.882639253013758, 1.796695566416711, 0.001467775466101371, 6.256020118495647e-05, 
Time[fs], 63.500000, 62.000000, 26.500000, 26.500000, 
Density Sum, 3.680865155097755,,,,
X Velocity[A/fs],-0.157695,0.161716,-0.673643,0.657893,
Y Velocity[A/fs],0.009610,0.005603,-0.046528,-0.023713,
Z Velocity[A/fs],0.000007,0.001045,-0.018802,-0.053072,
Speed[A/fs],0.157988,0.161817,0.675509,0.660456,
,,,,,
C2H2_14r138, C[0], C[1], H[2], H[3], 
Densities, 1.155849164032358, 2.465177881361981, 0.0007417402506907252, 7.062851993775666e-05, 
Time[fs], 62.500000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.621839414164967,,,,
X Velocity[A/fs],-0.158611,0.154784,-0.669733,0.662318,
Y Velocity[A/fs],-0.001090,0.000039,0.029024,-0.021016,
Z Velocity[A/fs],-0.007106,0.011057,0.098342,-0.101493,
Speed[A/fs],0.158773,0.155178,0.677537,0.670379,
,,,,,
C2H2_14r39, C[0], C[1], H[2], H[3], 
Densities, 1.774114186397579, 1.889153911423694, 0.001043060091847589, 9.830106234879443e-05, 
Time[fs], 62.500000, 62.500000, 26.500000, 26.500000, 
Density Sum, 3.664409458975469,,,,
X Velocity[A/fs],-0.160516,0.159880,-0.670500,0.660346,
Y Velocity[A/fs],-0.003399,0.000322,-0.031405,-0.034643,
Z Velocity[A/fs],0.007583,-0.003118,-0.089168,0.080706,
Speed[A/fs],0.160731,0.159911,0.677131,0.666161,
,,,,,
C2H2_14r5, C[0], C[1], H[2], H[3], 
Densities, 2.212930184384414, 1.460211229896393, 0.0007242691110351427, 5.072306687270968e-05, 
Time[fs], 66.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.673916406458715,,,,
X Velocity[A/fs],-0.149008,0.158770,-0.668102,0.671307,
Y Velocity[A/fs],0.002324,-0.004950,0.045348,-0.057970,
Z Velocity[A/fs],0.004145,-0.005987,0.050028,-0.059789,
Speed[A/fs],0.149084,0.158960,0.671506,0.676453,
,,,,,
C2H2_14r170, C[0], C[1], H[2], H[3], 
Densities, 1.923030854807615, 1.755168786781534, 0.0006824577974504961, 6.195048206315678e-05, 
Time[fs], 64.500000, 63.500000, 26.500000, 26.500000, 
Density Sum, 3.678944049868663,,,,
X Velocity[A/fs],-0.154787,0.156603,-0.659706,0.659286,
Y Velocity[A/fs],0.007159,0.002610,0.085846,-0.090180,
Z Velocity[A/fs],0.004526,-0.003182,0.056050,0.024190,
Speed[A/fs],0.155018,0.156657,0.667625,0.665865,
,,,,,
C2H2_14r171, C[0], C[1], H[2], H[3], 
Densities, 1.847332947859035, 1.84180525113344, 0.0009573367622481878, 8.646505595445013e-05, 
Time[fs], 63.500000, 63.500000, 26.500000, 26.500000, 
Density Sum, 3.690182000810678,,,,
X Velocity[A/fs],-0.157550,0.156735,-0.668878,0.665903,
Y Velocity[A/fs],0.000975,0.002261,0.036288,0.026750,
Z Velocity[A/fs],-0.003128,0.005711,-0.076189,0.061409,
Speed[A/fs],0.157584,0.156855,0.674181,0.669263,
,,,,,
C2H2_14r158, C[0], C[1], H[2], H[3], 
Densities, 2.214016903853819, 1.478475771350104, 0.000487027242241232, 5.067676375330261e-05, 
Time[fs], 62.000000, 67.000000, 26.500000, 26.500000, 
Density Sum, 3.693030379209918,,,,
