C4H10_28r18,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9236655012,    3.9222239703,    3.8701139987,    3.9603890665,    0.9996682612,    0.9989932921,    0.9986617308,    0.9996298430,    0.9982937704,    0.9999021796,    0.9989744948,    0.9984151737,    0.9999019781,    0.8595496118,  
Time[fs],  42.666000,  46.593000,  47.752000,  43.756000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  
Charge Sum,   25.5283828721, 
X Velocity[A/fs],  -0.339316,  -0.263266,   0.229326,   0.321743,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  
Y Velocity[A/fs],  -0.280062,   0.283967,   0.268121,  -0.259643,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 
Z Velocity[A/fs],   0.142961,  -0.272356,   0.286516,  -0.166454,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  
Speed[A/fs],   0.462610,   0.473417,   0.454501,   0.445691,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  
 
C4H10_28r45,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9390061051,    3.9024813771,    3.8947679773,    3.9630833603,    0.9997368093,    0.9996208593,    0.9987586333,    0.9996273096,    0.9983257178,    0.9998902344,    0.9992390936,    0.9974466728,    0.9992232495,    0.9837380964,  
Time[fs],  42.501000,  44.137000,  46.903000,  43.649000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  
Charge Sum,   25.6749454958, 
X Velocity[A/fs],  -0.344428,  -0.229978,   0.230087,   0.323451,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  
Y Velocity[A/fs],  -0.295753,   0.318234,   0.276969,  -0.260116,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 
Z Velocity[A/fs],   0.084550,  -0.247136,   0.295451,  -0.167197,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  
Speed[A/fs],   0.461789,   0.463939,   0.465772,   0.447477,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  
 
C4H10_28r11,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9140470773,    3.9201806486,    3.8785019442,    3.9406595267,    0.9994978554,    0.9995862568,    0.9986959003,    0.9995360604,    0.9987214312,    0.9999164247,    0.9989189171,    0.9975854957,    0.9993911075,    0.8730989397,  
Time[fs],  41.389000,  45.418000,  45.480000,  43.583000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  25.138000,   0.000000,  
Charge Sum,   25.5183375858, 
X Velocity[A/fs],  -0.358639,  -0.228611,   0.212013,   0.323517,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.675541,   0.000000,  
Y Velocity[A/fs],  -0.299195,   0.299399,   0.295645,  -0.300674,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  -0.155325,   0.000000, 
Z Velocity[A/fs],   0.039317,  -0.268003,   0.283261,  -0.046053,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  -0.870868,   0.000000,  
Speed[A/fs],   0.468705,   0.462308,   0.461077,   0.444060,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.113056,   0.000000,  
 
C4H10_28r16,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9355476871,    3.9479669482,    3.8766797930,    3.9509727024,    0.9996714652,    0.9989295464,    0.9986682205,    0.9996273276,    0.9979238571,    0.9994711240,    0.9986970855,    0.9983812276,    0.9994732513,    0.9290432632,  
Time[fs],  41.349000,  44.284000,  44.199000,  43.189000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  25.138000,   0.000000,  
Charge Sum,   25.6310534990, 
X Velocity[A/fs],  -0.361711,  -0.236042,   0.229207,   0.326823,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.675541,   0.000000,  
Y Velocity[A/fs],  -0.297487,   0.313531,   0.310448,  -0.301721,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  -0.155325,   0.000000, 
