r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Z Velocity[A/fs],   0.016966,  -0.013625,  -0.019161,  -0.029364,  
Speed[A/fs],   0.194167,   0.188912,   0.829041,   0.847184,  
 
r_seed=13,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.342000,  37.825000,   7.934000,   7.731000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195142,   0.188176,  -0.830263,   0.841821,  
Y Velocity[A/fs],   0.000657,   0.006460,  -0.009532,  -0.023375, 
Z Velocity[A/fs],   0.002412,  -0.012447,   0.039332,   0.023088,  
Speed[A/fs],   0.195158,   0.188698,   0.831249,   0.842462,  
 
r_seed=14,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.457000,  37.559000,   7.824000,   7.655000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193693,   0.188457,  -0.830433,   0.844853,  
Y Velocity[A/fs],   0.008392,  -0.009348,   0.006528,   0.032738, 
Z Velocity[A/fs],  -0.000547,  -0.009793,  -0.025271,  -0.003313,  
Speed[A/fs],   0.193875,   0.188942,   0.830843,   0.845494,  
 
r_seed=15,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.105000,  38.118000,   7.871000,   7.771000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196457,   0.186751,  -0.830120,   0.840689,  
Y Velocity[A/fs],   0.012483,  -0.007860,   0.004593,  -0.013602, 
Z Velocity[A/fs],   0.013028,  -0.006696,  -0.000194,  -0.052970,  
Speed[A/fs],   0.197284,   0.187036,   0.830133,   0.842466,  
 
r_seed=16,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.113000,  38.087000,   7.804000,   7.729000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195642,   0.186046,  -0.831158,   0.844008,  
Y Velocity[A/fs],  -0.019773,   0.010304,   0.023639,   0.013778, 
