r_seed=1,   C[0],   C[1],   H[2],   H[3],  
r_seed=52,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.272000,  37.892000,   7.830000,   7.730000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194981,   0.187086,  -0.829090,   0.844061,  
Y Velocity[A/fs],  -0.015972,   0.013007,   0.056907,  -0.032251, 
Z Velocity[A/fs],   0.009218,  -0.001077,   0.004981,  -0.004141,  
Speed[A/fs],   0.195851,   0.187540,   0.831056,   0.844687,  
 
r_seed=53,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  37.556000,  36.479000,   7.891000,   7.590000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.188111,   0.193515,  -0.826104,   0.849850,  
Y Velocity[A/fs],  -0.014921,   0.006168,   0.022149,   0.007391, 
Z Velocity[A/fs],   0.001235,   0.001327,   0.000716,  -0.020409,  
Speed[A/fs],   0.188706,   0.193617,   0.826401,   0.850127,  
 
r_seed=54,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.842000,  38.157000,   7.774000,   7.671000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197114,   0.185937,  -0.832049,   0.841317,  
Y Velocity[A/fs],   0.001574,  -0.009607,  -0.025234,   0.024108, 
Z Velocity[A/fs],  -0.009474,   0.004548,  -0.005706,   0.013455,  
Speed[A/fs],   0.197348,   0.186240,   0.832451,   0.841770,  
 
r_seed=55,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  37.287000,  36.877000,   7.887000,   7.656000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.189405,   0.191501,  -0.827968,   0.849505,  
Y Velocity[A/fs],  -0.005420,   0.007676,  -0.005744,   0.026392, 
Z Velocity[A/fs],   0.013339,  -0.011306,  -0.003612,  -0.016866,  
Speed[A/fs],   0.189952,   0.191988,   0.827996,   0.850082,  
 
r_seed=56,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.663000,  38.416000,   7.788000,   7.728000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197954,   0.184659,  -0.833468,   0.840949,  
Y Velocity[A/fs],  -0.000567,   0.002076,  -0.025411,   0.047254, 
Z Velocity[A/fs],   0.001020,  -0.000808,  -0.014256,   0.031591,  
Speed[A/fs],   0.197958,   0.184672,   0.833977,   0.842868,  
 
r_seed=57,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.352000,  37.758000,   7.859000,   7.667000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194190,   0.187581,  -0.831941,   0.844128,  
Y Velocity[A/fs],   0.002916,  -0.001208,  -0.006392,  -0.034526, 
Z Velocity[A/fs],  -0.015546,   0.006843,   0.011663,   0.000114,  
Speed[A/fs],   0.194833,   0.187710,   0.832048,   0.844834,  
 
r_seed=58,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.075000,  37.902000,   7.804000,   7.687000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196536,   0.187612,  -0.827451,   0.841178,  
Y Velocity[A/fs],   0.008300,  -0.011321,  -0.002336,  -0.017682, 
Z Velocity[A/fs],   0.009998,  -0.002388,  -0.061397,   0.000623,  
Speed[A/fs],   0.196965,   0.187968,   0.829729,   0.841364,  
 
r_seed=59,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.918000,  38.201000,   7.828000,   7.731000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196637,   0.185665,  -0.833174,   0.842074,  
Y Velocity[A/fs],   0.010277,   0.002223,   0.001050,  -0.039126, 
Z Velocity[A/fs],   0.000597,  -0.001491,  -0.011232,   0.035295,  
Speed[A/fs],   0.196906,   0.185684,   0.833251,   0.843722,  
 
r_seed=60,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.903000,  37.040000,   7.812000,   7.623000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.191364,   0.190726,  -0.827551,   0.847737,  
Y Velocity[A/fs],   0.003366,  -0.000376,   0.017965,   0.016261, 
Z Velocity[A/fs],  -0.014412,   0.004619,   0.040329,  -0.003970,  
Speed[A/fs],   0.191936,   0.190783,   0.828727,   0.847903,  
 
r_seed=61,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.679000,  38.545000,   7.836000,   7.779000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.198120,   0.184299,  -0.833630,   0.841525,  
Y Velocity[A/fs],  -0.007013,   0.000816,   0.013774,  -0.024975, 
Z Velocity[A/fs],   0.007069,  -0.001059,  -0.019608,  -0.032836,  
Speed[A/fs],   0.198370,   0.184304,   0.833974,   0.842536,  
 
r_seed=62,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.441000,  37.509000,   7.765000,   7.692000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193934,   0.188604,  -0.829568,   0.846310,  
Y Velocity[A/fs],  -0.006039,  -0.010085,   0.027480,   0.012279, 
Z Velocity[A/fs],  -0.000748,  -0.001067,   0.009254,   0.019756,  
Speed[A/fs],   0.194029,   0.188877,   0.830075,   0.846630,  
 
r_seed=63,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.505000,  37.611000,   7.870000,   7.697000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194076,   0.188828,  -0.828036,   0.842626,  
Y Velocity[A/fs],  -0.009134,   0.016618,   0.043531,  -0.039568, 
Z Velocity[A/fs],  -0.012132,   0.004465,  -0.015568,  -0.011322,  
Speed[A/fs],   0.194670,   0.189611,   0.829326,   0.843631,  
 
r_seed=64,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.095000,  37.880000,   7.796000,   7.680000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195783,   0.187107,  -0.829594,   0.842959,  
Y Velocity[A/fs],  -0.005025,   0.000804,   0.064141,  -0.000990, 
Z Velocity[A/fs],   0.007059,  -0.006464,  -0.010922,   0.038848,  
Speed[A/fs],   0.195975,   0.187220,   0.832142,   0.843855,  
 
r_seed=65,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.792000,  37.351000,   7.887000,   7.730000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192222,   0.189506,  -0.828045,   0.848160,  
Y Velocity[A/fs],   0.003272,  -0.008173,  -0.022805,   0.030694, 
Z Velocity[A/fs],  -0.003100,  -0.001975,   0.056714,   0.011097,  
Speed[A/fs],   0.192274,   0.189692,   0.830298,   0.848788,  
 
r_seed=66,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.796000,  38.305000,   7.799000,   7.716000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197263,   0.185146,  -0.832991,   0.842272,  
Y Velocity[A/fs],   0.001818,   0.008815,  -0.022506,  -0.006867, 
Z Velocity[A/fs],  -0.009741,   0.002607,  -0.015042,  -0.017395,  
Speed[A/fs],   0.197512,   0.185375,   0.833430,   0.842480,  
 
r_seed=67,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.834000,  37.125000,   7.865000,   7.626000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.191867,   0.190672,  -0.828596,   0.845227,  
Y Velocity[A/fs],   0.002534,   0.002218,  -0.024581,   0.050838, 
Z Velocity[A/fs],   0.004629,  -0.004823,   0.013266,   0.032262,  
Speed[A/fs],   0.191939,   0.190746,   0.829066,   0.847369,  
 
r_seed=68,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.707000,  38.388000,   7.775000,   7.788000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.198585,   0.185367,  -0.829866,   0.840819,  
Y Velocity[A/fs],   0.011928,  -0.003618,  -0.028814,  -0.033525, 
Z Velocity[A/fs],   0.001318,  -0.003231,  -0.035249,  -0.000405,  
Speed[A/fs],   0.198948,   0.185430,   0.831114,   0.841487,  
 
r_seed=69,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.593000,  37.607000,   7.869000,   7.698000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193187,   0.188399,  -0.830005,   0.845039,  
Y Velocity[A/fs],   0.017277,  -0.009836,  -0.006992,  -0.028637, 
Z Velocity[A/fs],  -0.011758,   0.004114,   0.006090,  -0.022489,  
Speed[A/fs],   0.194314,   0.188701,   0.830057,   0.845823,  
 
r_seed=70,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.531000,  38.547000,   7.802000,   7.728000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.199533,   0.184961,  -0.831355,   0.836938,  
Y Velocity[A/fs],  -0.010604,   0.012360,   0.005567,  -0.032678, 
Z Velocity[A/fs],   0.004575,  -0.006259,   0.014401,   0.027160,  
Speed[A/fs],   0.199867,   0.185479,   0.831498,   0.838016,  
 
r_seed=71,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.918000,  38.155000,   7.826000,   7.689000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196319,   0.185631,  -0.833663,   0.842994,  
Y Velocity[A/fs],   0.000028,  -0.000321,  -0.029418,  -0.009021, 
Z Velocity[A/fs],  -0.000348,   0.004860,  -0.019771,  -0.032581,  
Speed[A/fs],   0.196319,   0.185695,   0.834417,   0.843672,  
 
r_seed=72,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.431000,  37.637000,   7.787000,   7.719000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194132,   0.188172,  -0.829199,   0.844906,  
Y Velocity[A/fs],  -0.008373,   0.003044,   0.029398,  -0.028719, 
Z Velocity[A/fs],   0.013197,  -0.009850,   0.014851,   0.040905,  
Speed[A/fs],   0.194760,   0.188454,   0.829852,   0.846383,  
 
r_seed=73,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.209000,  37.900000,   7.863000,   7.699000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195593,   0.187468,  -0.828386,   0.842086,  
Y Velocity[A/fs],   0.000233,  -0.010709,   0.026484,   0.011503, 
Z Velocity[A/fs],   0.011420,  -0.014022,  -0.057120,   0.009948,  
Speed[A/fs],   0.195927,   0.188297,   0.830775,   0.842223,  
 
r_seed=74,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.419000,  37.457000,   7.796000,   7.608000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193861,   0.188946,  -0.830118,   0.844371,  
Y Velocity[A/fs],  -0.003359,   0.006373,   0.030028,  -0.034956, 
Z Velocity[A/fs],  -0.001077,  -0.002097,   0.003076,  -0.016171,  
Speed[A/fs],   0.193894,   0.189066,   0.830666,   0.845249,  
 
r_seed=75,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.027000,  38.173000,   7.863000,   7.760000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196773,   0.186405,  -0.829710,   0.840800,  
Y Velocity[A/fs],   0.001491,  -0.002393,   0.047626,  -0.001302, 
Z Velocity[A/fs],   0.014374,  -0.013677,   0.023680,   0.042534,  
Speed[A/fs],   0.197303,   0.186922,   0.831413,   0.841876,  
 
r_seed=76,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.743000,  37.292000,   7.863000,   7.712000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193392,   0.190714,  -0.825266,   0.843964,  
Y Velocity[A/fs],   0.006707,  -0.014692,   0.014573,  -0.009930, 
Z Velocity[A/fs],  -0.005270,  -0.013834,   0.026753,   0.008596,  
Speed[A/fs],   0.193580,   0.191779,   0.825828,   0.844067,  
 
r_seed=77,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  37.255000,  36.713000,   7.866000,   7.610000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.189478,   0.192243,  -0.827627,   0.849315,  
Y Velocity[A/fs],   0.006024,   0.002771,  -0.021415,  -0.007505, 
Z Velocity[A/fs],  -0.000737,  -0.004053,   0.010622,  -0.031205,  
Speed[A/fs],   0.189575,   0.192305,   0.827972,   0.849922,  
 
r_seed=78,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.347000,  37.736000,   7.811000,   7.732000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194947,   0.188068,  -0.827088,   0.843708,  
Y Velocity[A/fs],   0.013228,  -0.002952,  -0.024214,   0.007276, 
Z Velocity[A/fs],   0.014577,  -0.009124,  -0.049484,   0.037798,  
Speed[A/fs],   0.195939,   0.188312,   0.828920,   0.844585,  
 
r_seed=79,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.270000,  37.843000,   7.849000,   7.703000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194619,   0.187116,  -0.832409,   0.844750,  
Y Velocity[A/fs],  -0.004661,  -0.000030,  -0.019342,  -0.038969, 
Z Velocity[A/fs],   0.004013,  -0.008246,   0.006688,  -0.007168,  
Speed[A/fs],   0.194716,   0.187297,   0.832661,   0.845679,  
 
r_seed=80,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.239000,  37.710000,   7.822000,   7.690000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195474,   0.188410,  -0.829300,   0.840508,  
Y Velocity[A/fs],  -0.002206,  -0.012264,   0.003738,   0.053097, 
Z Velocity[A/fs],  -0.002725,   0.000671,   0.018926,  -0.046767,  
Speed[A/fs],   0.195505,   0.188810,   0.829525,   0.843481,  
 
r_seed=81,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.563000,  38.538000,   7.799000,   7.725000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.198513,   0.184176,  -0.833348,   0.840602,  
Y Velocity[A/fs],   0.003308,  -0.000416,  -0.037422,   0.030559, 
Z Velocity[A/fs],   0.003178,  -0.001971,  -0.026427,   0.028659,  
Speed[A/fs],   0.198566,   0.184187,   0.834606,   0.841645,  
 
r_seed=82,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.496000,  38.626000,   7.757000,   7.756000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.199422,   0.184155,  -0.832354,   0.839629,  
Y Velocity[A/fs],  -0.002009,   0.000192,   0.009203,   0.014987, 
Z Velocity[A/fs],   0.005267,  -0.014891,   0.019380,  -0.013591,  
Speed[A/fs],   0.199502,   0.184756,   0.832631,   0.839873,  
 
r_seed=83,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.689000,  37.287000,   7.891000,   7.652000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193061,   0.190425,  -0.828222,   0.842437,  
Y Velocity[A/fs],   0.000919,  -0.004507,   0.024892,  -0.038171, 
Z Velocity[A/fs],  -0.000662,  -0.007920,  -0.014943,   0.057729,  
Speed[A/fs],   0.193064,   0.190643,   0.828731,   0.845275,  
 
r_seed=84,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.716000,  37.345000,   7.812000,   7.682000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192377,   0.189322,  -0.829346,   0.846693,  
Y Velocity[A/fs],  -0.001898,   0.007341,   0.005452,   0.047798, 
Z Velocity[A/fs],   0.010454,  -0.011932,  -0.000014,   0.012307,  
Speed[A/fs],   0.192670,   0.189840,   0.829364,   0.848130,  
 
r_seed=85,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.016000,  38.061000,   7.862000,   7.744000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196834,   0.186923,  -0.828877,   0.841188,  
Y Velocity[A/fs],  -0.001896,   0.005374,   0.022559,   0.034471, 
Z Velocity[A/fs],  -0.001256,  -0.004247,   0.063123,  -0.030880,  
Speed[A/fs],   0.196847,   0.187048,   0.831583,   0.842460,  
 
r_seed=86,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.080000,  38.005000,   7.830000,   7.735000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196696,   0.187386,  -0.828873,   0.838796,  
Y Velocity[A/fs],   0.007462,  -0.018223,   0.012843,   0.060829, 
Z Velocity[A/fs],  -0.005473,   0.011935,  -0.002911,  -0.005804,  
Speed[A/fs],   0.196913,   0.188648,   0.828978,   0.841019,  
 
r_seed=87,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.173000,  37.957000,   7.853000,   7.686000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195634,   0.187091,  -0.828890,   0.841824,  
Y Velocity[A/fs],   0.016269,  -0.012151,  -0.055144,   0.025224, 
Z Velocity[A/fs],   0.008236,  -0.007573,   0.023054,  -0.004103,  
Speed[A/fs],   0.196482,   0.187638,   0.831043,   0.842211,  
 
r_seed=88,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.319000,  37.785000,   7.797000,   7.762000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195075,   0.187790,  -0.828982,   0.844365,  
Y Velocity[A/fs],  -0.006845,   0.011482,  -0.011227,  -0.010820, 
Z Velocity[A/fs],   0.003184,  -0.007058,  -0.020598,  -0.050591,  
Speed[A/fs],   0.195221,   0.188273,   0.829314,   0.845949,  
 
r_seed=89,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.635000,  37.431000,   7.845000,   7.671000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192442,   0.188681,  -0.831383,   0.847833,  
Y Velocity[A/fs],  -0.008067,   0.005332,  -0.019297,   0.014139, 
Z Velocity[A/fs],  -0.003743,  -0.003905,   0.011676,   0.013860,  
Speed[A/fs],   0.192648,   0.188796,   0.831689,   0.848064,  
 
r_seed=90,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.204000,  37.912000,   7.834000,   7.750000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.195630,   0.187312,  -0.828764,   0.841821,  
Y Velocity[A/fs],  -0.004887,  -0.001263,  -0.013589,   0.035035, 
Z Velocity[A/fs],   0.011884,  -0.013805,  -0.048536,   0.055071,  
Speed[A/fs],   0.196051,   0.187824,   0.830295,   0.844348,  
 
r_seed=91,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.942000,  37.936000,   7.842000,   7.672000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.197739,   0.188132,  -0.827620,   0.838427,  
Y Velocity[A/fs],   0.008040,  -0.002091,  -0.026908,   0.012358, 
Z Velocity[A/fs],  -0.006666,  -0.001370,   0.026375,   0.022510,  
Speed[A/fs],   0.198015,   0.188149,   0.828478,   0.838820,  
 
r_seed=92,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.580000,  38.467000,   7.768000,   7.749000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.198962,   0.184881,  -0.831440,   0.839340,  
Y Velocity[A/fs],  -0.002498,   0.007999,   0.000400,  -0.043045, 
Z Velocity[A/fs],  -0.003004,  -0.007660,   0.041831,   0.009014,  
Speed[A/fs],   0.199000,   0.185213,   0.832491,   0.840491,  
 
r_seed=93,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.579000,  37.532000,   7.860000,   7.682000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193539,   0.189013,  -0.828249,   0.844260,  
Y Velocity[A/fs],   0.010819,  -0.017542,  -0.030439,  -0.028658, 
Z Velocity[A/fs],   0.003700,   0.000460,   0.026528,   0.013075,  
Speed[A/fs],   0.193877,   0.189826,   0.829232,   0.844847,  
 
r_seed=94,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.700000,  38.564000,   7.840000,   7.797000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.198163,   0.184305,  -0.833198,   0.841991,  
Y Velocity[A/fs],   0.009108,  -0.005397,   0.009880,   0.015434, 
Z Velocity[A/fs],   0.000215,  -0.005945,  -0.027317,   0.026560,  
Speed[A/fs],   0.198372,   0.184480,   0.833704,   0.842551,  
 
r_seed=95,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.893000,  37.313000,   7.904000,   7.681000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.191630,   0.189750,  -0.828296,   0.846808,  
Y Velocity[A/fs],   0.013365,  -0.017797,  -0.037862,   0.003366, 
Z Velocity[A/fs],   0.005582,  -0.000439,  -0.023419,   0.009864,  
Speed[A/fs],   0.192176,   0.190583,   0.829491,   0.846873,  
 
r_seed=96,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.545000,  37.610000,   7.873000,   7.801000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194759,   0.189449,  -0.825322,   0.843140,  
Y Velocity[A/fs],   0.012578,  -0.016790,   0.009835,   0.021589, 
Z Velocity[A/fs],  -0.000384,   0.004720,   0.038571,  -0.036941,  
Speed[A/fs],   0.195165,   0.190250,   0.826281,   0.844225,  
 
r_seed=97,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.392000,  37.567000,   7.851000,   7.622000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194509,   0.189004,  -0.828758,   0.842733,  
Y Velocity[A/fs],  -0.014142,   0.002295,   0.031882,  -0.001968, 
Z Velocity[A/fs],   0.000096,  -0.009594,   0.014066,   0.013804,  
Speed[A/fs],   0.195022,   0.189261,   0.829490,   0.842849,  
 
r_seed=98,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.671000,  37.240000,   7.783000,   7.652000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192966,   0.190134,  -0.827620,   0.845992,  
Y Velocity[A/fs],   0.001434,  -0.012343,  -0.029072,  -0.006673, 
Z Velocity[A/fs],   0.002758,   0.003748,  -0.021287,   0.007163,  
Speed[A/fs],   0.192991,   0.190571,   0.828404,   0.846049,  
 
r_seed=99,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  35.645000,  38.496000,   7.835000,   7.736000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.198546,   0.184807,  -0.831870,   0.839928,  
Y Velocity[A/fs],  -0.004544,   0.006186,  -0.048680,  -0.008606, 
Z Velocity[A/fs],  -0.002124,   0.009295,   0.017163,   0.009700,  
Speed[A/fs],   0.198609,   0.185144,   0.833470,   0.840028,  
 
r_seed=100,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.327000,  37.658000,   7.815000,   7.672000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194564,   0.188082,  -0.828342,   0.844733,  
Y Velocity[A/fs],  -0.004249,   0.002619,  -0.050933,   0.011339, 
Z Velocity[A/fs],  -0.009420,   0.004401,   0.051518,   0.005974,  
Speed[A/fs],   0.194839,   0.188151,   0.831504,   0.844830,  
 
r_seed=101,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  37.111000,  36.931000,   7.844000,   7.694000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.191467,   0.192241,  -0.822243,   0.845457,  
Y Velocity[A/fs],   0.011105,  -0.011861,  -0.014418,   0.033095, 
Z Velocity[A/fs],   0.018323,  -0.006534,  -0.052025,  -0.005307,  
Speed[A/fs],   0.192662,   0.192717,   0.824014,   0.846121,  
 
r_seed=102,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.096000,  37.984000,   7.785000,   7.719000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196026,   0.186786,  -0.830379,   0.843219,  
Y Velocity[A/fs],  -0.002709,   0.011794,  -0.012656,   0.022704, 
Z Velocity[A/fs],  -0.004885,   0.013186,   0.022653,   0.010463,  
Speed[A/fs],   0.196106,   0.187622,   0.830784,   0.843589,  
 
r_seed=103,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
