C4H10_14r45,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
X Velocity[A/fs],  -0.157512,  -0.107380,   0.100349,   0.176238,  -0.220430,  -0.468366,  -0.849502,  -0.054947,  -0.571469,   0.510497,  -0.052175,   0.149250,   0.525158,   0.806871,  
Y Velocity[A/fs],  -0.134902,   0.149162,   0.164956,  -0.156714,  -0.772066,  -0.256049,   0.002261,   0.220500,   0.705393,   0.725595,   0.238887,  -0.797102,  -0.217319,  -0.058127, 
Z Velocity[A/fs],   0.021648,  -0.146288,   0.128504,  -0.032495,  -0.397066,   0.720020,  -0.118948,  -0.871650,   0.119699,  -0.068044,   0.830112,   0.331316,  -0.694778,   0.295025,  
Speed[A/fs],   0.208511,   0.234904,   0.231934,   0.238064,   0.895733,   0.896301,   0.857792,   0.900785,   0.915688,   0.889789,   0.865376,   0.876023,   0.897628,   0.861081,  
 
C4H10_14r2,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.9105086327,    2.0089557171,    1.8917520046,    1.9286270142,    0.9990710848,    0.9966334591,    0.9219546765,    0.9989603380,    0.9959353297,    0.9993367168,    0.9969160305,    0.9977139761,    0.9996838821,    0.9997022515,  
Time[fs],  67.843000,  68.599000,  72.352000,  67.593000,  28.529000,  30.094000,  26.801000,  28.151000,  29.059000,  29.142000,  28.272000,  28.775000,  30.186000,  26.923000,  
Charge Sum,   17.6457511137, 
X Velocity[A/fs],  -0.174695,  -0.120386,   0.108294,   0.174728,  -0.269633,  -0.508952,  -0.847106,  -0.056245,  -0.533611,   0.516351,   0.059931,   0.164385,   0.447375,   0.851302,  
Y Velocity[A/fs],  -0.162146,   0.167433,   0.153424,  -0.154334,  -0.795512,  -0.205997,  -0.010792,   0.207664,   0.732836,   0.729355,   0.224735,  -0.790326,  -0.311024,  -0.040952, 
Z Velocity[A/fs],   0.018490,  -0.158363,   0.154555,  -0.028815,  -0.356873,   0.724536,  -0.149718,  -0.871777,   0.192769,  -0.149875,   0.838721,   0.380004,  -0.712520,   0.182548,  
Speed[A/fs],   0.239064,   0.260011,   0.243215,   0.234902,   0.912633,   0.909076,   0.860303,   0.897932,   0.926795,   0.906112,   0.870374,   0.892211,   0.896976,   0.871617,  
 
C4H10_14r38,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8802790642,    2.0150299072,    1.8422675133,    1.7453563213,    0.9994995202,    0.9973678242,    0.9459681734,    0.9995110228,    0.9978211198,    0.9971981316,    0.9978105384,    0.9969001312,    0.9997885228,    0.9949102979,  
Time[fs],  69.292000,  66.489000,  71.595000,  66.338000,  28.638000,  29.893000,  26.909000,  27.945000,  29.507000,  28.768000,  28.156000,  28.248000,  30.189000,  27.849000,  
Charge Sum,   17.4097080885, 
X Velocity[A/fs],  -0.168885,  -0.114153,   0.114106,   0.177946,  -0.295899,  -0.483010,  -0.838427,  -0.076883,  -0.569250,   0.466760,   0.102858,   0.134447,   0.537133,   0.788440,  
Y Velocity[A/fs],  -0.155881,   0.175746,   0.156041,  -0.140926,  -0.781524,  -0.197008,  -0.058264,   0.153076,   0.717788,   0.747542,   0.107757,  -0.850258,  -0.111758,  -0.118402, 
Z Velocity[A/fs],   0.026582,  -0.144693,   0.149909,  -0.018745,  -0.346392,   0.747250,  -0.171151,  -0.880094,   0.126702,  -0.083973,   0.852359,   0.141518,  -0.700185,   0.351590,  
